GE,ME,MI
ENSG00000002079,ENSG00000003400,ENSG00000000971
ENSG00000003137,ENSG00000003402,ENSG00000002745
ENSG00000004468,ENSG00000004059,ENSG00000003056
ENSG00000004776,ENSG00000004866,ENSG00000003147
ENSG00000004809,ENSG00000005073,ENSG00000004059
ENSG00000005187,ENSG00000005194,ENSG00000004478
ENSG00000006059,ENSG00000005249,ENSG00000004777
ENSG00000006606,ENSG00000005810,ENSG00000005156
ENSG00000006659,ENSG00000005812,ENSG00000005844
ENSG00000007038,ENSG00000006118,ENSG00000006047
ENSG00000007062,ENSG00000006432,ENSG00000006116
ENSG00000007129,ENSG00000006652,ENSG00000006118
ENSG00000007306,ENSG00000007062,ENSG00000006530
ENSG00000007952,ENSG00000007908,ENSG00000006625
ENSG00000008196,ENSG00000007923,ENSG00000006638
ENSG00000009765,ENSG00000008118,ENSG00000006695
ENSG00000010671,ENSG00000008394,ENSG00000007341
ENSG00000010932,ENSG00000008869,ENSG00000007376
ENSG00000011332,ENSG00000009307,ENSG00000008128
ENSG00000012124,ENSG00000010270,ENSG00000008311
ENSG00000012223,ENSG00000010318,ENSG00000008394
ENSG00000012504,ENSG00000010361,ENSG00000008710
ENSG00000015413,ENSG00000010810,ENSG00000008853
ENSG00000016602,ENSG00000010818,ENSG00000009709
ENSG00000017427,ENSG00000011009,ENSG00000009830
ENSG00000018236,ENSG00000011243,ENSG00000010219
ENSG00000018625,ENSG00000011451,ENSG00000010932
ENSG00000019102,ENSG00000012223,ENSG00000011332
ENSG00000019169,ENSG00000012232,ENSG00000012124
ENSG00000019991,ENSG00000013306,ENSG00000012211
ENSG00000021645,ENSG00000014914,ENSG00000012223
ENSG00000027644,ENSG00000015153,ENSG00000013016
ENSG00000035720,ENSG00000015532,ENSG00000013275
ENSG00000036565,ENSG00000018408,ENSG00000013306
ENSG00000038295,ENSG00000018510,ENSG00000013588
ENSG00000039537,ENSG00000020256,ENSG00000021355
ENSG00000039987,ENSG00000020426,ENSG00000022267
ENSG00000041515,ENSG00000023171,ENSG00000022556
ENSG00000043039,ENSG00000026751,ENSG00000023572
ENSG00000047936,ENSG00000029363,ENSG00000028116
ENSG00000048462,ENSG00000029364,ENSG00000034971
ENSG00000048540,ENSG00000030066,ENSG00000038532
ENSG00000048545,ENSG00000033178,ENSG00000040608
ENSG00000049249,ENSG00000033627,ENSG00000047315
ENSG00000050628,ENSG00000034510,ENSG00000048392
ENSG00000050730,ENSG00000034677,ENSG00000049167
ENSG00000053108,ENSG00000036448,ENSG00000049656
ENSG00000053747,ENSG00000037280,ENSG00000050130
ENSG00000054356,ENSG00000038532,ENSG00000051341
ENSG00000054803,ENSG00000039139,ENSG00000054116
ENSG00000054938,ENSG00000040731,ENSG00000054277
ENSG00000055732,ENSG00000042304,ENSG00000055118
ENSG00000055957,ENSG00000042813,ENSG00000056487
ENSG00000057149,ENSG00000042980,ENSG00000058262
ENSG00000060709,ENSG00000043462,ENSG00000058799
ENSG00000060718,ENSG00000046653,ENSG00000060688
ENSG00000064201,ENSG00000047410,ENSG00000061938
ENSG00000064787,ENSG00000047457,ENSG00000063245
ENSG00000064886,ENSG00000047579,ENSG00000063322
ENSG00000065609,ENSG00000048052,ENSG00000063601
ENSG00000065717,ENSG00000048545,ENSG00000064601
ENSG00000066294,ENSG00000049618,ENSG00000064835
ENSG00000066382,ENSG00000050426,ENSG00000064933
ENSG00000067798,ENSG00000051620,ENSG00000065371
ENSG00000068078,ENSG00000051825,ENSG00000065548
ENSG00000068781,ENSG00000052344,ENSG00000065618
ENSG00000068976,ENSG00000052723,ENSG00000067177
ENSG00000069535,ENSG00000053702,ENSG00000068781
ENSG00000069764,ENSG00000055332,ENSG00000069011
ENSG00000069812,ENSG00000056972,ENSG00000069018
ENSG00000070031,ENSG00000057663,ENSG00000069248
ENSG00000070193,ENSG00000058799,ENSG00000070081
ENSG00000070808,ENSG00000059378,ENSG00000070366
ENSG00000070985,ENSG00000059588,ENSG00000070413
ENSG00000071991,ENSG00000060558,ENSG00000070423
ENSG00000072041,ENSG00000061794,ENSG00000070950
ENSG00000072657,ENSG00000062038,ENSG00000071539
ENSG00000073754,ENSG00000062485,ENSG00000071909
ENSG00000073792,ENSG00000063180,ENSG00000072571
ENSG00000073861,ENSG00000063245,ENSG00000072832
ENSG00000074047,ENSG00000064199,ENSG00000072864
ENSG00000074211,ENSG00000065615,ENSG00000074370
ENSG00000074317,ENSG00000066032,ENSG00000074964
ENSG00000074966,ENSG00000066044,ENSG00000075618
ENSG00000075035,ENSG00000066322,ENSG00000075884
ENSG00000075340,ENSG00000066455,ENSG00000076201
ENSG00000075461,ENSG00000066855,ENSG00000076685
ENSG00000075673,ENSG00000067066,ENSG00000078070
ENSG00000077063,ENSG00000068137,ENSG00000078795
