GE,ME,MI
ENSG00000002079,ENSG00000003402,ENSG00000000460
ENSG00000003989,ENSG00000004468,ENSG00000001461
ENSG00000004809,ENSG00000004975,ENSG00000001630
ENSG00000004838,ENSG00000005073,ENSG00000004478
ENSG00000005513,ENSG00000005075,ENSG00000004487
ENSG00000006071,ENSG00000005194,ENSG00000005206
ENSG00000006128,ENSG00000005249,ENSG00000005844
ENSG00000006377,ENSG00000005302,ENSG00000006530
ENSG00000006611,ENSG00000005812,ENSG00000006555
ENSG00000007062,ENSG00000006025,ENSG00000006607
ENSG00000007174,ENSG00000006432,ENSG00000006638
ENSG00000007216,ENSG00000007062,ENSG00000007062
ENSG00000007306,ENSG00000007237,ENSG00000007392
ENSG00000007402,ENSG00000008853,ENSG00000008018
ENSG00000007516,ENSG00000008952,ENSG00000008128
ENSG00000008196,ENSG00000009307,ENSG00000008394
ENSG00000009709,ENSG00000010219,ENSG00000010322
ENSG00000009765,ENSG00000010244,ENSG00000010539
ENSG00000010310,ENSG00000010270,ENSG00000010932
ENSG00000010438,ENSG00000010810,ENSG00000011332
ENSG00000011677,ENSG00000010818,ENSG00000011422
ENSG00000016602,ENSG00000011052,ENSG00000011638
ENSG00000018625,ENSG00000011105,ENSG00000012124
ENSG00000019102,ENSG00000011198,ENSG00000012223
ENSG00000019169,ENSG00000011451,ENSG00000012963
ENSG00000019186,ENSG00000011485,ENSG00000013288
ENSG00000026559,ENSG00000012232,ENSG00000015475
ENSG00000034971,ENSG00000013306,ENSG00000016402
ENSG00000039139,ENSG00000013561,ENSG00000023697
ENSG00000039537,ENSG00000013583,ENSG00000026508
ENSG00000047457,ENSG00000015153,ENSG00000035115
ENSG00000047662,ENSG00000016391,ENSG00000038532
ENSG00000047936,ENSG00000017797,ENSG00000039537
ENSG00000050438,ENSG00000020256,ENSG00000041982
ENSG00000050730,ENSG00000020577,ENSG00000047315
ENSG00000053108,ENSG00000023171,ENSG00000047597
ENSG00000054598,ENSG00000026751,ENSG00000048544
ENSG00000054803,ENSG00000030066,ENSG00000049283
ENSG00000054938,ENSG00000030582,ENSG00000050767
ENSG00000056487,ENSG00000033178,ENSG00000051108
ENSG00000057149,ENSG00000033627,ENSG00000051180
ENSG00000057593,ENSG00000034510,ENSG00000054219
ENSG00000058335,ENSG00000037757,ENSG00000055044
ENSG00000062096,ENSG00000038532,ENSG00000055118
ENSG00000064787,ENSG00000039139,ENSG00000055332
ENSG00000064886,ENSG00000040199,ENSG00000056736
ENSG00000065328,ENSG00000040731,ENSG00000061337
ENSG00000065371,ENSG00000042304,ENSG00000061794
ENSG00000065609,ENSG00000042813,ENSG00000061938
ENSG00000065618,ENSG00000043514,ENSG00000063322
ENSG00000067715,ENSG00000047188,ENSG00000063978
ENSG00000067842,ENSG00000047410,ENSG00000064601
ENSG00000068489,ENSG00000047457,ENSG00000064787
ENSG00000068615,ENSG00000047579,ENSG00000065154
ENSG00000068985,ENSG00000047849,ENSG00000065518
ENSG00000069482,ENSG00000048028,ENSG00000066027
ENSG00000069764,ENSG00000048740,ENSG00000066382
ENSG00000070193,ENSG00000049618,ENSG00000067048
ENSG00000070729,ENSG00000050426,ENSG00000067066
ENSG00000071991,ENSG00000051382,ENSG00000068137
ENSG00000072041,ENSG00000051620,ENSG00000070182
ENSG00000072858,ENSG00000051825,ENSG00000070404
ENSG00000073464,ENSG00000052723,ENSG00000071282
ENSG00000073792,ENSG00000053702,ENSG00000071909
ENSG00000074410,ENSG00000055332,ENSG00000071967
ENSG00000074803,ENSG00000055917,ENSG00000072163
ENSG00000075461,ENSG00000056097,ENSG00000072274
ENSG00000075673,ENSG00000056736,ENSG00000072571
ENSG00000075886,ENSG00000057935,ENSG00000073350
ENSG00000075891,ENSG00000058262,ENSG00000074211
ENSG00000076344,ENSG00000059588,ENSG00000074964
ENSG00000077274,ENSG00000060339,ENSG00000075975
ENSG00000077279,ENSG00000062485,ENSG00000076003
ENSG00000077327,ENSG00000062725,ENSG00000076201
ENSG00000077935,ENSG00000063127,ENSG00000077420
ENSG00000079393,ENSG00000063180,ENSG00000077498
ENSG00000079689,ENSG00000065534,ENSG00000078795
ENSG00000080854,ENSG00000065615,ENSG00000078900
ENSG00000081041,ENSG00000065978,ENSG00000079134
ENSG00000081051,ENSG00000066044,ENSG00000079931
ENSG00000081277,ENSG00000066322,ENSG00000079999
ENSG00000081479,ENSG00000066336,ENSG00000080166
ENSG00000081985,ENSG00000066427,ENSG00000080618
ENSG00000082175,ENSG00000066455,ENSG00000080644
ENSG00000082293,ENSG00000066855,ENSG00000081051
ENSG00000082556,ENSG00000068654,ENSG00000081237
ENSG00000084453,ENSG00000068781,ENSG00000081818
ENSG00000084628,ENSG00000068784,ENSG00000081853
ENSG00000086506,ENSG00000069667,ENSG00000084073
ENSG00000086548,ENSG00000070193,ENSG00000084110
ENSG00000086570,ENSG00000070540,ENSG00000084463
ENSG00000086696,ENSG00000070756,ENSG00000085662
ENSG00000088386,ENSG00000070882,ENSG00000085872
ENSG00000088726,ENSG00000070985,ENSG00000085999
ENSG00000089116,ENSG00000071553,ENSG00000086289
ENSG00000090512,ENSG00000072518,ENSG00000086548
ENSG00000090534,ENSG00000072682,ENSG00000087008
ENSG00000090539,ENSG00000072786,ENSG00000087111
ENSG00000090932,ENSG00000073584,ENSG00000087245
ENSG00000091138,ENSG00000074181,ENSG00000088325
ENSG00000091482,ENSG00000074416,ENSG00000088367
ENSG00000091513,ENSG00000074582,ENSG00000088448
ENSG00000091664,ENSG00000074603,ENSG00000088543
ENSG00000091831,ENSG00000075131,ENSG00000088766
ENSG00000092009,ENSG00000075292,ENSG00000088876
ENSG00000092054,ENSG00000075420,ENSG00000088992
ENSG00000092295,ENSG00000076242,ENSG00000089220
ENSG00000092345,ENSG00000076555,ENSG00000089876
ENSG00000092758,ENSG00000077348,ENSG00000090512
ENSG00000093134,ENSG00000077522,ENSG00000090520
ENSG00000094755,ENSG00000077942,ENSG00000090554
ENSG00000095627,ENSG00000077943,ENSG00000090674
ENSG00000095917,ENSG00000078018,ENSG00000090989
ENSG00000096006,ENSG00000078070,ENSG00000091262
ENSG00000096088,ENSG00000078814,ENSG00000092036
ENSG00000099725,ENSG00000079215,ENSG00000092096
ENSG00000099769,ENSG00000079689,ENSG00000092607
ENSG00000099960,ENSG00000080618,ENSG00000092853
ENSG00000100095,ENSG00000081026,ENSG00000092964
ENSG00000100146,ENSG00000081277,ENSG00000095739
ENSG00000100170,ENSG00000082515,ENSG00000096384
ENSG00000100362,ENSG00000082898,ENSG00000099337
ENSG00000100448,ENSG00000083828,ENSG00000099399
ENSG00000100665,ENSG00000085511,ENSG00000099721
ENSG00000100867,ENSG00000085552,ENSG00000099783
ENSG00000101098,ENSG00000085563,ENSG00000099904
ENSG00000101188,ENSG00000085982,ENSG00000099949
ENSG00000101210,ENSG00000086205,ENSG00000099977
ENSG00000101222,ENSG00000086570,ENSG00000100078
ENSG00000101282,ENSG00000087086,ENSG00000100106
ENSG00000101292,ENSG00000088451,ENSG00000100146
ENSG00000101311,ENSG00000088836,ENSG00000100162
ENSG00000101323,ENSG00000089351,ENSG00000100196
ENSG00000101425,ENSG00000089737,ENSG00000100211
ENSG00000101435,ENSG00000089820,ENSG00000100216
ENSG00000101441,ENSG00000090020,ENSG00000100246
ENSG00000101489,ENSG00000090512,ENSG00000100362
ENSG00000101746,ENSG00000090674,ENSG00000100403
ENSG00000102001,ENSG00000091409,ENSG00000100473
ENSG00000102010,ENSG00000091947,ENSG00000100479
ENSG00000102109,ENSG00000092108,ENSG00000100564
ENSG00000102243,ENSG00000092421,ENSG00000100578
ENSG00000102678,ENSG00000092929,ENSG00000100926
ENSG00000102837,ENSG00000095139,ENSG00000100941
ENSG00000102854,ENSG00000095319,ENSG00000100968
ENSG00000103310,ENSG00000095370,ENSG00000101049
ENSG00000103355,ENSG00000095627,ENSG00000101079
ENSG00000103460,ENSG00000096006,ENSG00000101082
ENSG00000103534,ENSG00000096088,ENSG00000101150
ENSG00000103546,ENSG00000096395,ENSG00000101188
ENSG00000103569,ENSG00000096696,ENSG00000101204
ENSG00000104044,ENSG00000099364,ENSG00000101266
ENSG00000104055,ENSG00000099866,ENSG00000101307
ENSG00000104237,ENSG00000099954,ENSG00000101346
ENSG00000104332,ENSG00000099991,ENSG00000101363
ENSG00000105131,ENSG00000100028,ENSG00000101412
ENSG00000105141,ENSG00000100092,ENSG00000101421
ENSG00000105143,ENSG00000100109,ENSG00000101608
ENSG00000105173,ENSG00000100150,ENSG00000101638
ENSG00000105255,ENSG00000100216,ENSG00000101773
ENSG00000105376,ENSG00000100225,ENSG00000101882
ENSG00000105388,ENSG00000100226,ENSG00000101911
ENSG00000105550,ENSG00000100227,ENSG00000102096
ENSG00000105695,ENSG00000100266,ENSG00000102145
ENSG00000105877,ENSG00000100325,ENSG00000102174
ENSG00000105880,ENSG00000100348,ENSG00000102387
ENSG00000105926,ENSG00000100385,ENSG00000102572
ENSG00000105929,ENSG00000100412,ENSG00000102606
ENSG00000106018,ENSG00000100490,ENSG00000102796
ENSG00000106128,ENSG00000100578,ENSG00000102805
ENSG00000106278,ENSG00000100591,ENSG00000102837
ENSG00000106541,ENSG00000100592,ENSG00000102978
ENSG00000106631,ENSG00000100612,ENSG00000103037
ENSG00000106689,ENSG00000100697,ENSG00000103264
ENSG00000106714,ENSG00000100865,ENSG00000103710
ENSG00000106809,ENSG00000100888,ENSG00000103723
ENSG00000106927,ENSG00000101017,ENSG00000103852
ENSG00000107159,ENSG00000101187,ENSG00000103942
ENSG00000107485,ENSG00000101197,ENSG00000103966
ENSG00000107518,ENSG00000101199,ENSG00000104142
ENSG00000107807,ENSG00000101246,ENSG00000104228
ENSG00000107984,ENSG00000101343,ENSG00000104611
ENSG00000108018,ENSG00000101367,ENSG00000104626
ENSG00000108176,ENSG00000101457,ENSG00000104635
