GE,ME,MI
ENSG00000004846,ENSG00000006283,ENSG00000004660
ENSG00000010932,ENSG00000008853,ENSG00000006530
ENSG00000013293,ENSG00000010270,ENSG00000006638
ENSG00000018236,ENSG00000010361,ENSG00000008394
ENSG00000018625,ENSG00000011052,ENSG00000011332
ENSG00000019169,ENSG00000034510,ENSG00000013441
ENSG00000043355,ENSG00000047457,ENSG00000023330
ENSG00000057593,ENSG00000048342,ENSG00000040608
ENSG00000064195,ENSG00000054598,ENSG00000048544
ENSG00000066405,ENSG00000055332,ENSG00000063601
ENSG00000068781,ENSG00000061273,ENSG00000065518
ENSG00000070193,ENSG00000063127,ENSG00000067334
ENSG00000071991,ENSG00000066336,ENSG00000075884
ENSG00000072133,ENSG00000072062,ENSG00000079785
ENSG00000075035,ENSG00000072803,ENSG00000083123
ENSG00000075340,ENSG00000079215,ENSG00000083307
ENSG00000082482,ENSG00000079689,ENSG00000085871
ENSG00000083782,ENSG00000084693,ENSG00000089116
ENSG00000092009,ENSG00000085382,ENSG00000090520
ENSG00000094963,ENSG00000088756,ENSG00000091513
ENSG00000095713,ENSG00000090470,ENSG00000092036
ENSG00000100146,ENSG00000095627,ENSG00000093167
ENSG00000100448,ENSG00000100412,ENSG00000100749
ENSG00000101470,ENSG00000100417,ENSG00000101574
ENSG00000101850,ENSG00000100614,ENSG00000102241
ENSG00000101938,ENSG00000100722,ENSG00000102924
ENSG00000102109,ENSG00000101188,ENSG00000104472
ENSG00000102452,ENSG00000102683,ENSG00000105953
ENSG00000104332,ENSG00000104805,ENSG00000107147
ENSG00000105048,ENSG00000104814,ENSG00000108671
ENSG00000105664,ENSG00000107105,ENSG00000109083
ENSG00000106511,ENSG00000107295,ENSG00000109103
ENSG00000106809,ENSG00000107537,ENSG00000109511
ENSG00000108576,ENSG00000108389,ENSG00000109519
ENSG00000109511,ENSG00000109182,ENSG00000110195
ENSG00000111262,ENSG00000109452,ENSG00000110218
ENSG00000113196,ENSG00000109705,ENSG00000112936
ENSG00000113296,ENSG00000109743,ENSG00000115226
ENSG00000113389,ENSG00000111727,ENSG00000115317
ENSG00000114113,ENSG00000112200,ENSG00000115392
