GE,ME,MI
ENSG00000001626,ENSG00000000460,ENSG00000002745
ENSG00000004838,ENSG00000003056,ENSG00000003147
ENSG00000005108,ENSG00000003402,ENSG00000003436
ENSG00000006047,ENSG00000003987,ENSG00000003756
ENSG00000006059,ENSG00000004059,ENSG00000004059
ENSG00000006377,ENSG00000004468,ENSG00000004660
ENSG00000006606,ENSG00000004660,ENSG00000004700
ENSG00000006611,ENSG00000004866,ENSG00000004799
ENSG00000006788,ENSG00000005073,ENSG00000004897
ENSG00000007038,ENSG00000005075,ENSG00000005001
ENSG00000007062,ENSG00000005194,ENSG00000005156
ENSG00000007171,ENSG00000005249,ENSG00000005844
ENSG00000007216,ENSG00000005448,ENSG00000006047
ENSG00000007306,ENSG00000005812,ENSG00000006530
ENSG00000007314,ENSG00000006025,ENSG00000006555
ENSG00000007933,ENSG00000006118,ENSG00000006638
ENSG00000008196,ENSG00000006283,ENSG00000006652
ENSG00000008226,ENSG00000006327,ENSG00000006695
ENSG00000008277,ENSG00000006756,ENSG00000006704
ENSG00000008323,ENSG00000007264,ENSG00000006712
ENSG00000008394,ENSG00000007392,ENSG00000007306
ENSG00000009709,ENSG00000007908,ENSG00000007341
ENSG00000009765,ENSG00000009335,ENSG00000007376
ENSG00000009950,ENSG00000010219,ENSG00000007384
ENSG00000010282,ENSG00000010244,ENSG00000008018
ENSG00000012223,ENSG00000010270,ENSG00000008128
ENSG00000015413,ENSG00000010361,ENSG00000008197
ENSG00000016391,ENSG00000010810,ENSG00000008394
ENSG00000016602,ENSG00000010818,ENSG00000008710
ENSG00000018625,ENSG00000011009,ENSG00000009709
ENSG00000019102,ENSG00000011105,ENSG00000009830
ENSG00000021645,ENSG00000011198,ENSG00000010219
ENSG00000029559,ENSG00000011243,ENSG00000010322
ENSG00000030304,ENSG00000011566,ENSG00000010379
ENSG00000034971,ENSG00000011600,ENSG00000010539
ENSG00000035720,ENSG00000012211,ENSG00000010803
ENSG00000038295,ENSG00000012232,ENSG00000011143
ENSG00000039537,ENSG00000013563,ENSG00000011332
ENSG00000039600,ENSG00000013583,ENSG00000012223
ENSG00000042781,ENSG00000014216,ENSG00000012822
ENSG00000042832,ENSG00000015153,ENSG00000013306
ENSG00000047457,ENSG00000015479,ENSG00000013374
ENSG00000047662,ENSG00000015532,ENSG00000013588
ENSG00000047936,ENSG00000018408,ENSG00000015479
ENSG00000048462,ENSG00000020426,ENSG00000019144
ENSG00000048545,ENSG00000021762,ENSG00000019169
ENSG00000049540,ENSG00000023171,ENSG00000019505
ENSG00000054356,ENSG00000026751,ENSG00000022556
ENSG00000054803,ENSG00000027075,ENSG00000028137
ENSG00000058404,ENSG00000028203,ENSG00000034239
ENSG00000060718,ENSG00000029363,ENSG00000034533
ENSG00000062096,ENSG00000029364,ENSG00000034971
ENSG00000063127,ENSG00000030066,ENSG00000035115
