GE,ME,MI
ENSG00000004846,ENSG00000004660,ENSG00000003989
ENSG00000004848,ENSG00000004866,ENSG00000004660
ENSG00000010282,ENSG00000005073,ENSG00000006638
ENSG00000010438,ENSG00000005961,ENSG00000008394
ENSG00000023839,ENSG00000007062,ENSG00000012223
ENSG00000026559,ENSG00000008952,ENSG00000029559
ENSG00000043355,ENSG00000010626,ENSG00000046651
ENSG00000050628,ENSG00000010810,ENSG00000063601
ENSG00000054938,ENSG00000011426,ENSG00000067334
ENSG00000069011,ENSG00000018408,ENSG00000067445
ENSG00000069206,ENSG00000028203,ENSG00000075388
ENSG00000070748,ENSG00000029363,ENSG00000075884
ENSG00000074211,ENSG00000034677,ENSG00000077514
ENSG00000074317,ENSG00000043462,ENSG00000079999
ENSG00000077327,ENSG00000058404,ENSG00000080854
ENSG00000080511,ENSG00000066855,ENSG00000085721
ENSG00000081248,ENSG00000069667,ENSG00000087995
ENSG00000100362,ENSG00000073417,ENSG00000088320
ENSG00000100604,ENSG00000075188,ENSG00000088876
ENSG00000101746,ENSG00000078018,ENSG00000089116
ENSG00000101958,ENSG00000085511,ENSG00000089685
ENSG00000102854,ENSG00000086015,ENSG00000092036
ENSG00000105409,ENSG00000086589,ENSG00000092871
ENSG00000106031,ENSG00000087085,ENSG00000100196
ENSG00000106809,ENSG00000090020,ENSG00000100568
ENSG00000107447,ENSG00000095787,ENSG00000101230
ENSG00000109193,ENSG00000100028,ENSG00000102241
ENSG00000110675,ENSG00000100325,ENSG00000103710
ENSG00000114638,ENSG00000100612,ENSG00000104472
ENSG00000115194,ENSG00000101850,ENSG00000105819
ENSG00000115507,ENSG00000105401,ENSG00000105953
ENSG00000115602,ENSG00000105983,ENSG00000109519
ENSG00000116183,ENSG00000107164,ENSG00000112365
ENSG00000117148,ENSG00000107819,ENSG00000113262
ENSG00000120088,ENSG00000108379,ENSG00000113263
ENSG00000121075,ENSG00000108846,ENSG00000113296
ENSG00000122133,ENSG00000108984,ENSG00000115226
ENSG00000124134,ENSG00000109586,ENSG00000115350
ENSG00000124260,ENSG00000109881,ENSG00000117395
ENSG00000124875,ENSG00000111237,ENSG00000117602
ENSG00000124882,ENSG00000112655,ENSG00000118046
ENSG00000125798,ENSG00000113430,ENSG00000118690
ENSG00000128564,ENSG00000113649,ENSG00000118702
ENSG00000129991,ENSG00000113658,ENSG00000119777
ENSG00000130283,ENSG00000114315,ENSG00000119973
ENSG00000130294,ENSG00000114346,ENSG00000120318
ENSG00000132821,ENSG00000114541,ENSG00000122194
ENSG00000132855,ENSG00000115318,ENSG00000122484
ENSG00000133020,ENSG00000115828,ENSG00000123353
ENSG00000134240,ENSG00000115844,ENSG00000124205
ENSG00000134339,ENSG00000116731,ENSG00000124786
ENSG00000134363,ENSG00000118246,ENSG00000125485
ENSG00000135480,ENSG00000118473,ENSG00000126562
ENSG00000136155,ENSG00000119614,ENSG00000126733
ENSG00000136327,ENSG00000120088,ENSG00000127540
ENSG00000137142,ENSG00000120451,ENSG00000127824
ENSG00000137440,ENSG00000121671,ENSG00000129167
