GE,ME,MI
ENSG00000001626,ENSG00000003400,ENSG00000000003
ENSG00000003137,ENSG00000004059,ENSG00000001630
ENSG00000005001,ENSG00000004776,ENSG00000002745
ENSG00000005513,ENSG00000005513,ENSG00000003147
ENSG00000006016,ENSG00000006118,ENSG00000003756
ENSG00000006283,ENSG00000006283,ENSG00000005001
ENSG00000006377,ENSG00000006432,ENSG00000005007
ENSG00000006606,ENSG00000007237,ENSG00000005156
ENSG00000006611,ENSG00000007376,ENSG00000005206
ENSG00000006659,ENSG00000007402,ENSG00000005302
ENSG00000006788,ENSG00000007923,ENSG00000005844
ENSG00000007038,ENSG00000008294,ENSG00000005884
ENSG00000007062,ENSG00000009307,ENSG00000006530
ENSG00000007306,ENSG00000010219,ENSG00000006638
ENSG00000010310,ENSG00000011105,ENSG00000006652
ENSG00000011677,ENSG00000012048,ENSG00000006704
ENSG00000013588,ENSG00000013583,ENSG00000007341
ENSG00000015413,ENSG00000015532,ENSG00000007376
ENSG00000016402,ENSG00000020577,ENSG00000007392
ENSG00000018236,ENSG00000023171,ENSG00000008128
ENSG00000019505,ENSG00000026751,ENSG00000008710
ENSG00000021300,ENSG00000034053,ENSG00000010803
ENSG00000023171,ENSG00000035862,ENSG00000011332
ENSG00000026559,ENSG00000036448,ENSG00000012223
ENSG00000029559,ENSG00000037042,ENSG00000012963
ENSG00000034053,ENSG00000041357,ENSG00000013016
ENSG00000037965,ENSG00000042813,ENSG00000013306
ENSG00000042980,ENSG00000042980,ENSG00000013588
ENSG00000046774,ENSG00000043462,ENSG00000015133
ENSG00000049247,ENSG00000046653,ENSG00000019505
ENSG00000049283,ENSG00000047457,ENSG00000021355
ENSG00000055118,ENSG00000047597,ENSG00000022267
ENSG00000055732,ENSG00000048052,ENSG00000022556
ENSG00000056291,ENSG00000048740,ENSG00000028116
ENSG00000056487,ENSG00000048991,ENSG00000034239
ENSG00000058085,ENSG00000050327,ENSG00000034533
ENSG00000060718,ENSG00000050426,ENSG00000038532
ENSG00000062524,ENSG00000053918,ENSG00000040633
ENSG00000063015,ENSG00000055332,ENSG00000047315
ENSG00000064195,ENSG00000056972,ENSG00000049246
ENSG00000064270,ENSG00000058335,ENSG00000050130
ENSG00000065325,ENSG00000062038,ENSG00000051341
ENSG00000066032,ENSG00000062822,ENSG00000052850
ENSG00000066230,ENSG00000063601,ENSG00000054654
ENSG00000067715,ENSG00000064218,ENSG00000054983
ENSG00000068985,ENSG00000064270,ENSG00000055118
ENSG00000069011,ENSG00000064655,ENSG00000056487
ENSG00000069188,ENSG00000066032,ENSG00000058262
ENSG00000069482,ENSG00000066135,ENSG00000060688
ENSG00000069764,ENSG00000066468,ENSG00000061938
ENSG00000072195,ENSG00000067141,ENSG00000063245
ENSG00000073734,ENSG00000067596,ENSG00000063322
ENSG00000074047,ENSG00000068024,ENSG00000064652
ENSG00000074211,ENSG00000068097,ENSG00000064835
ENSG00000074276,ENSG00000068654,ENSG00000065325
ENSG00000075043,ENSG00000068781,ENSG00000065618
ENSG00000075223,ENSG00000069424,ENSG00000067177
ENSG00000075673,ENSG00000070526,ENSG00000068024
ENSG00000076344,ENSG00000070731,ENSG00000068137
ENSG00000076716,ENSG00000070882,ENSG00000068912
ENSG00000077274,ENSG00000071553,ENSG00000070182
ENSG00000078053,ENSG00000072274,ENSG00000070413
ENSG00000079112,ENSG00000072786,ENSG00000070814
ENSG00000079931,ENSG00000072864,ENSG00000070950
ENSG00000080224,ENSG00000073331,ENSG00000071539
ENSG00000080293,ENSG00000073350,ENSG00000071909
ENSG00000083307,ENSG00000074211,ENSG00000071967
ENSG00000084628,ENSG00000074370,ENSG00000072110
ENSG00000084636,ENSG00000074935,ENSG00000073350
ENSG00000086506,ENSG00000075073,ENSG00000073670
ENSG00000086967,ENSG00000075213,ENSG00000074370
ENSG00000087494,ENSG00000075413,ENSG00000074416
ENSG00000087510,ENSG00000075568,ENSG00000074603
ENSG00000088836,ENSG00000077943,ENSG00000074964
ENSG00000088882,ENSG00000078070,ENSG00000075388
ENSG00000088992,ENSG00000078246,ENSG00000075618
ENSG00000089356,ENSG00000078295,ENSG00000077616
ENSG00000090932,ENSG00000078747,ENSG00000078070
ENSG00000091482,ENSG00000079387,ENSG00000078142
ENSG00000092096,ENSG00000079739,ENSG00000078369
ENSG00000095587,ENSG00000081237,ENSG00000078596
ENSG00000095713,ENSG00000081692,ENSG00000079785
ENSG00000095752,ENSG00000081721,ENSG00000079805
ENSG00000095777,ENSG00000082153,ENSG00000079999
ENSG00000096433,ENSG00000082438,ENSG00000080644
ENSG00000099399,ENSG00000083312,ENSG00000081051
ENSG00000099960,ENSG00000085276,ENSG00000081177
ENSG00000100170,ENSG00000085511,ENSG00000081818
ENSG00000100228,ENSG00000086570,ENSG00000083535
ENSG00000100253,ENSG00000086589,ENSG00000083635
ENSG00000100652,ENSG00000086666,ENSG00000085644
ENSG00000100767,ENSG00000087495,ENSG00000085721
ENSG00000101098,ENSG00000088035,ENSG00000087111
ENSG00000101115,ENSG00000088305,ENSG00000087157
ENSG00000101144,ENSG00000088448,ENSG00000087903
ENSG00000101187,ENSG00000088808,ENSG00000088053
ENSG00000101188,ENSG00000089351,ENSG00000088766
ENSG00000101680,ENSG00000089820,ENSG00000088876
ENSG00000101842,ENSG00000090060,ENSG00000088992
ENSG00000101951,ENSG00000090889,ENSG00000089048
ENSG00000101955,ENSG00000091409,ENSG00000089116
ENSG00000101981,ENSG00000092010,ENSG00000089876
ENSG00000102021,ENSG00000092036,ENSG00000090447
ENSG00000102109,ENSG00000092108,ENSG00000090520
ENSG00000102230,ENSG00000092871,ENSG00000090554
ENSG00000102243,ENSG00000094755,ENSG00000091164
ENSG00000102452,ENSG00000094916,ENSG00000091513
ENSG00000103089,ENSG00000095752,ENSG00000091592
ENSG00000103253,ENSG00000096006,ENSG00000092607
ENSG00000103534,ENSG00000096063,ENSG00000092871
ENSG00000103569,ENSG00000097007,ENSG00000094880
ENSG00000103723,ENSG00000099797,ENSG00000095370
ENSG00000103742,ENSG00000099949,ENSG00000095383
ENSG00000104044,ENSG00000099957,ENSG00000097021
ENSG00000104059,ENSG00000100150,ENSG00000099194
ENSG00000104140,ENSG00000100226,ENSG00000099783
ENSG00000104369,ENSG00000100298,ENSG00000099977
ENSG00000104413,ENSG00000100344,ENSG00000100003
ENSG00000104435,ENSG00000100348,ENSG00000100034
ENSG00000104537,ENSG00000100353,ENSG00000100142
ENSG00000104938,ENSG00000100461,ENSG00000100196
ENSG00000105048,ENSG00000100462,ENSG00000100280
ENSG00000105131,ENSG00000100578,ENSG00000100292
ENSG00000105290,ENSG00000100592,ENSG00000100319
ENSG00000105366,ENSG00000100603,ENSG00000100564
ENSG00000105426,ENSG00000100697,ENSG00000100603
ENSG00000105509,ENSG00000100711,ENSG00000100612
ENSG00000105641,ENSG00000100814,ENSG00000101003
ENSG00000105664,ENSG00000100888,ENSG00000101052
ENSG00000105696,ENSG00000101187,ENSG00000101161
ENSG00000105697,ENSG00000101197,ENSG00000101230
ENSG00000105855,ENSG00000101199,ENSG00000101255
ENSG00000105877,ENSG00000101203,ENSG00000101265
ENSG00000105989,ENSG00000102104,ENSG00000101307
ENSG00000106236,ENSG00000102606,ENSG00000101457
ENSG00000106541,ENSG00000102935,ENSG00000101751
ENSG00000106633,ENSG00000103145,ENSG00000101986
ENSG00000106809,ENSG00000103168,ENSG00000102174
ENSG00000107159,ENSG00000103248,ENSG00000102178
ENSG00000107165,ENSG00000103253,ENSG00000102580
ENSG00000107187,ENSG00000103723,ENSG00000102606
ENSG00000107317,ENSG00000104321,ENSG00000102924
ENSG00000107984,ENSG00000104369,ENSG00000103021
ENSG00000108309,ENSG00000104915,ENSG00000103067
ENSG00000108813,ENSG00000104921,ENSG00000103126
ENSG00000108823,ENSG00000104967,ENSG00000103187
ENSG00000108852,ENSG00000105339,ENSG00000103647
ENSG00000109101,ENSG00000105428,ENSG00000103653
ENSG00000109205,ENSG00000105429,ENSG00000103852
ENSG00000109625,ENSG00000105472,ENSG00000104472
ENSG00000109705,ENSG00000105641,ENSG00000104613
ENSG00000109956,ENSG00000106261,ENSG00000104783
ENSG00000110148,ENSG00000106278,ENSG00000104805
ENSG00000110887,ENSG00000106536,ENSG00000104880
ENSG00000111199,ENSG00000106571,ENSG00000105011
ENSG00000111344,ENSG00000106588,ENSG00000105136
ENSG00000111432,ENSG00000106591,ENSG00000105137
ENSG00000111713,ENSG00000107165,ENSG00000105289
ENSG00000112164,ENSG00000107447,ENSG00000105929
ENSG00000112175,ENSG00000107485,ENSG00000105953
ENSG00000112273,ENSG00000107643,ENSG00000106013
ENSG00000112319,ENSG00000107874,ENSG00000106261
ENSG00000112559,ENSG00000107902,ENSG00000106608
ENSG00000112796,ENSG00000108679,ENSG00000106615
ENSG00000112812,ENSG00000108759,ENSG00000106804
ENSG00000112981,ENSG00000108828,ENSG00000106852
ENSG00000113100,ENSG00000108846,ENSG00000107099
ENSG00000113249,ENSG00000109061,ENSG00000107147
ENSG00000113327,ENSG00000109063,ENSG00000107186
ENSG00000113763,ENSG00000109132,ENSG00000107331
ENSG00000114529,ENSG00000109458,ENSG00000107611
ENSG00000114923,ENSG00000109794,ENSG00000107807
ENSG00000115361,ENSG00000109832,ENSG00000107833
ENSG00000115380,ENSG00000110076,ENSG00000108244
ENSG00000115593,ENSG00000110079,ENSG00000108509
ENSG00000116014,ENSG00000110172,ENSG00000108774
ENSG00000116031,ENSG00000110367,ENSG00000108861
ENSG00000116035,ENSG00000110446,ENSG00000108950
ENSG00000116039,ENSG00000110851,ENSG00000108961
ENSG00000116183,ENSG00000110888,ENSG00000109062
ENSG00000116254,ENSG00000111231,ENSG00000109079
ENSG00000116882,ENSG00000111596,ENSG00000109083
ENSG00000116985,ENSG00000111796,ENSG00000109103
ENSG00000117122,ENSG00000111961,ENSG00000109111
ENSG00000117322,ENSG00000112137,ENSG00000109519
ENSG00000117594,ENSG00000112159,ENSG00000109674
ENSG00000117983,ENSG00000112245,ENSG00000110063
ENSG00000118017,ENSG00000112273,ENSG00000110218
ENSG00000118194,ENSG00000112473,ENSG00000110429
ENSG00000118322,ENSG00000112530,ENSG00000110514
ENSG00000118733,ENSG00000112531,ENSG00000111058
ENSG00000119866,ENSG00000112561,ENSG00000111145
ENSG00000119888,ENSG00000112562,ENSG00000111206
ENSG00000120057,ENSG00000112799,ENSG00000111254
ENSG00000120088,ENSG00000112812,ENSG00000111321
ENSG00000120149,ENSG00000113088,ENSG00000111424
ENSG00000120251,ENSG00000113240,ENSG00000111602
ENSG00000120669,ENSG00000113262,ENSG00000111725
ENSG00000120907,ENSG00000113263,ENSG00000111834
ENSG00000121440,ENSG00000113269,ENSG00000112033
ENSG00000121446,ENSG00000113303,ENSG00000112039
ENSG00000122176,ENSG00000113361,ENSG00000112078
ENSG00000122574,ENSG00000113369,ENSG00000112333
ENSG00000122691,ENSG00000113658,ENSG00000112812
ENSG00000122756,ENSG00000113734,ENSG00000112936
ENSG00000122870,ENSG00000113838,ENSG00000113240
ENSG00000123243,ENSG00000114030,ENSG00000113396
ENSG00000123364,ENSG00000114062,ENSG00000113492
ENSG00000123388,ENSG00000114098,ENSG00000113522
ENSG00000123500,ENSG00000114626,ENSG00000113578
ENSG00000123572,ENSG00000114867,ENSG00000113621
ENSG00000123610,ENSG00000115091,ENSG00000113734
ENSG00000123999,ENSG00000115109,ENSG00000113758
ENSG00000124102,ENSG00000115274,ENSG00000113810
ENSG00000124134,ENSG00000115289,ENSG00000114026
ENSG00000124249,ENSG00000115295,ENSG00000114268
ENSG00000124302,ENSG00000115318,ENSG00000114316
ENSG00000124490,ENSG00000115353,ENSG00000114638
ENSG00000124493,ENSG00000115419,ENSG00000114771
ENSG00000124613,ENSG00000115425,ENSG00000115073
ENSG00000124939,ENSG00000115590,ENSG00000115318
ENSG00000125850,ENSG00000115657,ENSG00000115392
ENSG00000126259,ENSG00000116147,ENSG00000115423
ENSG00000126752,ENSG00000116337,ENSG00000115474
ENSG00000126890,ENSG00000116396,ENSG00000115526
ENSG00000127083,ENSG00000116560,ENSG00000115594
ENSG00000127561,ENSG00000116661,ENSG00000115685
ENSG00000127928,ENSG00000116731,ENSG00000115687
ENSG00000128045,ENSG00000116786,ENSG00000115758
ENSG00000128242,ENSG00000117118,ENSG00000116218
ENSG00000128564,ENSG00000117122,ENSG00000116704
ENSG00000128713,ENSG00000117148,ENSG00000116745
ENSG00000129009,ENSG00000117154,ENSG00000116903
ENSG00000129038,ENSG00000117266,ENSG00000117069
ENSG00000129451,ENSG00000117335,ENSG00000117226
ENSG00000129654,ENSG00000117868,ENSG00000117298
ENSG00000129864,ENSG00000117984,ENSG00000117322
ENSG00000129965,ENSG00000118137,ENSG00000117335
ENSG00000129990,ENSG00000118156,ENSG00000117395
ENSG00000129991,ENSG00000118162,ENSG00000117450
ENSG00000130054,ENSG00000118194,ENSG00000117602
ENSG00000130283,ENSG00000118231,ENSG00000117724
ENSG00000130294,ENSG00000118322,ENSG00000117983
ENSG00000130413,ENSG00000118873,ENSG00000118046
ENSG00000130475,ENSG00000119285,ENSG00000118898
ENSG00000130558,ENSG00000119522,ENSG00000119004
ENSG00000130595,ENSG00000119725,ENSG00000119630
ENSG00000130675,ENSG00000119801,ENSG00000119655
ENSG00000130700,ENSG00000119969,ENSG00000119685
ENSG00000130720,ENSG00000120008,ENSG00000119865
ENSG00000130822,ENSG00000120156,ENSG00000119888
ENSG00000130876,ENSG00000120210,ENSG00000119899
ENSG00000131037,ENSG00000120332,ENSG00000120088
ENSG00000131126,ENSG00000120451,ENSG00000120129
ENSG00000131459,ENSG00000120647,ENSG00000120318
ENSG00000131650,ENSG00000120659,ENSG00000120341
ENSG00000131771,ENSG00000120694,ENSG00000120647
ENSG00000132164,ENSG00000120699,ENSG00000120658
ENSG00000132446,ENSG00000120802,ENSG00000120697
ENSG00000132639,ENSG00000121005,ENSG00000121552
ENSG00000132698,ENSG00000121022,ENSG00000121653
ENSG00000132746,ENSG00000121207,ENSG00000121851
ENSG00000132821,ENSG00000121310,ENSG00000122025
ENSG00000132932,ENSG00000121542,ENSG00000122547
ENSG00000132972,ENSG00000121577,ENSG00000123106
ENSG00000133019,ENSG00000121749,ENSG00000123130
ENSG00000133134,ENSG00000121904,ENSG00000123154
ENSG00000133454,ENSG00000122033,ENSG00000123338
ENSG00000133477,ENSG00000122180,ENSG00000124205
ENSG00000133519,ENSG00000122254,ENSG00000124207
ENSG00000133636,ENSG00000122507,ENSG00000124215
