GE,ME,MI
ENSG00000012817,ENSG00000006432,ENSG00000001630
ENSG00000019505,ENSG00000007062,ENSG00000006530
ENSG00000021826,ENSG00000010361,ENSG00000006638
ENSG00000036828,ENSG00000011052,ENSG00000008128
ENSG00000057149,ENSG00000011105,ENSG00000021355
ENSG00000067048,ENSG00000011566,ENSG00000047315
ENSG00000067646,ENSG00000023171,ENSG00000051108
ENSG00000068985,ENSG00000049283,ENSG00000061938
ENSG00000072041,ENSG00000066455,ENSG00000064652
ENSG00000090932,ENSG00000066735,ENSG00000078070
ENSG00000100373,ENSG00000070193,ENSG00000078589
ENSG00000100665,ENSG00000073331,ENSG00000083307
ENSG00000101076,ENSG00000080511,ENSG00000087111
ENSG00000101188,ENSG00000080573,ENSG00000088876
ENSG00000101470,ENSG00000087085,ENSG00000089048
ENSG00000104327,ENSG00000091831,ENSG00000090520
ENSG00000104755,ENSG00000092108,ENSG00000100196
ENSG00000104970,ENSG00000094916,ENSG00000100387
ENSG00000106927,ENSG00000100344,ENSG00000100749
ENSG00000108231,ENSG00000100348,ENSG00000101457
ENSG00000108602,ENSG00000100578,ENSG00000102606
ENSG00000108759,ENSG00000100603,ENSG00000103852
ENSG00000109132,ENSG00000100697,ENSG00000105058
ENSG00000109511,ENSG00000101199,ENSG00000105289
ENSG00000110680,ENSG00000101680,ENSG00000105953
ENSG00000114374,ENSG00000102572,ENSG00000106524
ENSG00000115386,ENSG00000103723,ENSG00000108509
ENSG00000119125,ENSG00000103876,ENSG00000109062
ENSG00000120211,ENSG00000104626,ENSG00000109511
ENSG00000122136,ENSG00000105605,ENSG00000111271
ENSG00000122711,ENSG00000106004,ENSG00000111602
ENSG00000123364,ENSG00000106665,ENSG00000112039
ENSG00000123388,ENSG00000108384,ENSG00000113734
ENSG00000123407,ENSG00000108984,ENSG00000114026
ENSG00000123999,ENSG00000109705,ENSG00000114268
ENSG00000124102,ENSG00000109743,ENSG00000115361
ENSG00000124253,ENSG00000109832,ENSG00000115392
ENSG00000124939,ENSG00000112200,ENSG00000116874
ENSG00000125255,ENSG00000112983,ENSG00000116903
ENSG00000125816,ENSG00000113430,ENSG00000117322
ENSG00000125851,ENSG00000113600,ENSG00000117395
ENSG00000127831,ENSG00000114374,ENSG00000118046
ENSG00000128713,ENSG00000117148,ENSG00000119865
ENSG00000128714,ENSG00000118729,ENSG00000120088
ENSG00000129437,ENSG00000119888,ENSG00000122484
ENSG00000129824,ENSG00000120057,ENSG00000123154
ENSG00000130294,ENSG00000120314,ENSG00000124205
ENSG00000132429,ENSG00000121900,ENSG00000124459
ENSG00000132874,ENSG00000122386,ENSG00000124588
ENSG00000134757,ENSG00000123243,ENSG00000124786
ENSG00000135346,ENSG00000125450,ENSG00000125746
ENSG00000137948,ENSG00000125484,ENSG00000127324
ENSG00000139219,ENSG00000126952,ENSG00000128309
ENSG00000139352,ENSG00000128656,ENSG00000131373
ENSG00000139445,ENSG00000129295,ENSG00000131748
ENSG00000141485,ENSG00000131183,ENSG00000131788
ENSG00000142319,ENSG00000132259,ENSG00000132205
ENSG00000142484,ENSG00000132470,ENSG00000132376
ENSG00000144119,ENSG00000134516,ENSG00000132386
ENSG00000145626,ENSG00000134962,ENSG00000132688
