GE,ME,MI
ENSG00000004846,ENSG00000004059,ENSG00000001630
ENSG00000007038,ENSG00000009307,ENSG00000003756
ENSG00000007174,ENSG00000010704,ENSG00000006712
ENSG00000008196,ENSG00000011105,ENSG00000007129
ENSG00000010282,ENSG00000018408,ENSG00000010803
ENSG00000016082,ENSG00000030582,ENSG00000011143
ENSG00000034239,ENSG00000042813,ENSG00000022556
ENSG00000034971,ENSG00000043462,ENSG00000028137
ENSG00000046774,ENSG00000047457,ENSG00000049167
ENSG00000067177,ENSG00000061455,ENSG00000051180
ENSG00000069482,ENSG00000063180,ENSG00000060688
ENSG00000081479,ENSG00000065978,ENSG00000065325
ENSG00000082196,ENSG00000068781,ENSG00000070814
ENSG00000087250,ENSG00000069956,ENSG00000072832
ENSG00000091513,ENSG00000081026,ENSG00000076685
ENSG00000099399,ENSG00000085276,ENSG00000078142
ENSG00000100448,ENSG00000087470,ENSG00000088836
ENSG00000101144,ENSG00000088448,ENSG00000090971
ENSG00000101203,ENSG00000092871,ENSG00000100292
ENSG00000102678,ENSG00000100028,ENSG00000100319
ENSG00000103449,ENSG00000100325,ENSG00000100612
ENSG00000104044,ENSG00000100603,ENSG00000102606
ENSG00000104237,ENSG00000100888,ENSG00000102837
ENSG00000104313,ENSG00000101187,ENSG00000103187
ENSG00000104760,ENSG00000101199,ENSG00000103852
ENSG00000105825,ENSG00000103723,ENSG00000104419
ENSG00000105894,ENSG00000104321,ENSG00000105695
ENSG00000107165,ENSG00000104921,ENSG00000108523
ENSG00000107807,ENSG00000105983,ENSG00000109062
ENSG00000115616,ENSG00000109132,ENSG00000109452
ENSG00000118733,ENSG00000110851,ENSG00000110077
ENSG00000118972,ENSG00000111237,ENSG00000111254
ENSG00000120251,ENSG00000111358,ENSG00000111261
ENSG00000123243,ENSG00000113141,ENSG00000114026
ENSG00000123307,ENSG00000113262,ENSG00000114638
ENSG00000124205,ENSG00000113269,ENSG00000114771
ENSG00000124302,ENSG00000114023,ENSG00000115234
ENSG00000124479,ENSG00000114030,ENSG00000115392
ENSG00000126861,ENSG00000114529,ENSG00000116745
