GE,ME,MI
ENSG00000004776,ENSG00000003402,ENSG00000001630
ENSG00000004848,ENSG00000004059,ENSG00000002587
ENSG00000005073,ENSG00000004468,ENSG00000002745
ENSG00000005421,ENSG00000005007,ENSG00000003147
ENSG00000005981,ENSG00000005073,ENSG00000004487
ENSG00000006016,ENSG00000006025,ENSG00000004809
ENSG00000006047,ENSG00000006118,ENSG00000005206
ENSG00000006071,ENSG00000006282,ENSG00000006530
ENSG00000006128,ENSG00000006638,ENSG00000006638
ENSG00000006377,ENSG00000006756,ENSG00000006695
ENSG00000007038,ENSG00000007062,ENSG00000007341
ENSG00000007216,ENSG00000007264,ENSG00000008128
ENSG00000011347,ENSG00000007392,ENSG00000008710
ENSG00000011677,ENSG00000007866,ENSG00000009709
ENSG00000012504,ENSG00000007923,ENSG00000010539
ENSG00000013293,ENSG00000008853,ENSG00000011485
ENSG00000013297,ENSG00000009335,ENSG00000012124
ENSG00000015592,ENSG00000010244,ENSG00000012223
ENSG00000016490,ENSG00000010270,ENSG00000012504
ENSG00000018236,ENSG00000010361,ENSG00000013441
ENSG00000018625,ENSG00000010810,ENSG00000020256
ENSG00000019186,ENSG00000011009,ENSG00000021355
ENSG00000021488,ENSG00000011052,ENSG00000023697
ENSG00000023839,ENSG00000011243,ENSG00000029559
ENSG00000029559,ENSG00000011405,ENSG00000039987
ENSG00000030304,ENSG00000011451,ENSG00000040608
ENSG00000033122,ENSG00000011566,ENSG00000046651
ENSG00000034971,ENSG00000012232,ENSG00000047315
ENSG00000039537,ENSG00000013563,ENSG00000047597
ENSG00000040731,ENSG00000013588,ENSG00000048544
ENSG00000043355,ENSG00000014824,ENSG00000049167
ENSG00000046774,ENSG00000015153,ENSG00000049656
ENSG00000047662,ENSG00000018408,ENSG00000051108
ENSG00000047936,ENSG00000019102,ENSG00000051341
ENSG00000048540,ENSG00000020256,ENSG00000054118
ENSG00000053108,ENSG00000021355,ENSG00000054392
ENSG00000055732,ENSG00000023171,ENSG00000054983
ENSG00000056487,ENSG00000029363,ENSG00000055332
ENSG00000057468,ENSG00000030582,ENSG00000058262
ENSG00000057593,ENSG00000033627,ENSG00000063176
ENSG00000060566,ENSG00000034510,ENSG00000063244
ENSG00000063015,ENSG00000034677,ENSG00000063245
ENSG00000064195,ENSG00000037280,ENSG00000063322
ENSG00000064300,ENSG00000040731,ENSG00000064601
ENSG00000065325,ENSG00000041880,ENSG00000064652
ENSG00000065609,ENSG00000042813,ENSG00000065154
ENSG00000067715,ENSG00000043462,ENSG00000065518
ENSG00000067840,ENSG00000044459,ENSG00000065548
ENSG00000067842,ENSG00000046653,ENSG00000065618
ENSG00000068615,ENSG00000047457,ENSG00000066056
ENSG00000068781,ENSG00000047617,ENSG00000066185
ENSG00000068976,ENSG00000048342,ENSG00000067177
ENSG00000069482,ENSG00000049089,ENSG00000067334
ENSG00000070019,ENSG00000049283,ENSG00000068885
ENSG00000070193,ENSG00000050426,ENSG00000069018
ENSG00000070601,ENSG00000051382,ENSG00000070190
ENSG00000070808,ENSG00000052344,ENSG00000070404
ENSG00000071991,ENSG00000053702,ENSG00000070413
ENSG00000072133,ENSG00000054598,ENSG00000070950
ENSG00000072657,ENSG00000054938,ENSG00000071539
ENSG00000073067,ENSG00000054965,ENSG00000071626
ENSG00000074211,ENSG00000057935,ENSG00000071909
ENSG00000075461,ENSG00000058799,ENSG00000072163
ENSG00000075673,ENSG00000059122,ENSG00000072506
ENSG00000077279,ENSG00000059728,ENSG00000072571
ENSG00000077522,ENSG00000060339,ENSG00000072858
ENSG00000078399,ENSG00000061273,ENSG00000072954
ENSG00000078549,ENSG00000063127,ENSG00000073350
ENSG00000078579,ENSG00000064042,ENSG00000075568
ENSG00000079112,ENSG00000064313,ENSG00000075651
ENSG00000079689,ENSG00000064545,ENSG00000076201
ENSG00000079841,ENSG00000064933,ENSG00000077420
ENSG00000080224,ENSG00000065978,ENSG00000078114
ENSG00000080293,ENSG00000066322,ENSG00000078900
ENSG00000081051,ENSG00000066336,ENSG00000079785
ENSG00000081277,ENSG00000066455,ENSG00000079999
ENSG00000081479,ENSG00000066735,ENSG00000080166
ENSG00000082293,ENSG00000066855,ENSG00000080644
ENSG00000082482,ENSG00000067066,ENSG00000080854
ENSG00000084453,ENSG00000068784,ENSG00000081051
ENSG00000084628,ENSG00000069399,ENSG00000081237
ENSG00000084674,ENSG00000069667,ENSG00000082684
ENSG00000085741,ENSG00000070081,ENSG00000083307
ENSG00000086967,ENSG00000070193,ENSG00000085721
ENSG00000087495,ENSG00000070388,ENSG00000085871
ENSG00000087510,ENSG00000072062,ENSG00000085872
ENSG00000088386,ENSG00000072803,ENSG00000085999
ENSG00000088926,ENSG00000072832,ENSG00000086200
ENSG00000089116,ENSG00000072840,ENSG00000087111
ENSG00000089199,ENSG00000073584,ENSG00000087365
ENSG00000089250,ENSG00000074181,ENSG00000087995
ENSG00000090402,ENSG00000074416,ENSG00000088320
ENSG00000090932,ENSG00000074582,ENSG00000088325
ENSG00000091138,ENSG00000075043,ENSG00000088448
ENSG00000091482,ENSG00000075151,ENSG00000088766
ENSG00000091513,ENSG00000075213,ENSG00000088833
ENSG00000091583,ENSG00000076344,ENSG00000088876
ENSG00000092009,ENSG00000076356,ENSG00000088930
ENSG00000092758,ENSG00000076928,ENSG00000088992
ENSG00000092850,ENSG00000077942,ENSG00000089116
ENSG00000095713,ENSG00000077943,ENSG00000089220
ENSG00000096006,ENSG00000078399,ENSG00000089472
ENSG00000096088,ENSG00000078814,ENSG00000089639
ENSG00000096395,ENSG00000079215,ENSG00000090512
ENSG00000099715,ENSG00000079689,ENSG00000090520
ENSG00000099866,ENSG00000080293,ENSG00000090554
ENSG00000099960,ENSG00000080503,ENSG00000091513
ENSG00000100078,ENSG00000080511,ENSG00000092036
ENSG00000100095,ENSG00000080573,ENSG00000092096
ENSG00000100146,ENSG00000080815,ENSG00000092108
ENSG00000100253,ENSG00000080824,ENSG00000092853
ENSG00000100298,ENSG00000082014,ENSG00000092871
ENSG00000100362,ENSG00000082898,ENSG00000092931
ENSG00000100373,ENSG00000083720,ENSG00000093167
ENSG00000100448,ENSG00000083828,ENSG00000094880
ENSG00000100593,ENSG00000084693,ENSG00000095383
ENSG00000100604,ENSG00000084710,ENSG00000096384
ENSG00000100678,ENSG00000085276,ENSG00000097021
ENSG00000100721,ENSG00000085382,ENSG00000099337
ENSG00000100867,ENSG00000085552,ENSG00000099381
ENSG00000100987,ENSG00000086015,ENSG00000099721
ENSG00000101004,ENSG00000086205,ENSG00000100162
