GE,ME,MI
ENSG00000006071,ENSG00000006327,ENSG00000005156
ENSG00000034971,ENSG00000011009,ENSG00000006530
ENSG00000035720,ENSG00000018510,ENSG00000006638
ENSG00000041353,ENSG00000021355,ENSG00000006704
ENSG00000048462,ENSG00000021762,ENSG00000006712
ENSG00000058335,ENSG00000034677,ENSG00000011332
ENSG00000060718,ENSG00000042088,ENSG00000013374
ENSG00000062096,ENSG00000043462,ENSG00000013588
ENSG00000067715,ENSG00000051825,ENSG00000028137
ENSG00000072315,ENSG00000064999,ENSG00000063322
ENSG00000075035,ENSG00000067066,ENSG00000064835
ENSG00000075461,ENSG00000070614,ENSG00000069248
ENSG00000083067,ENSG00000074181,ENSG00000071909
ENSG00000083782,ENSG00000076242,ENSG00000079805
ENSG00000086548,ENSG00000078246,ENSG00000080854
ENSG00000089356,ENSG00000080293,ENSG00000086200
ENSG00000095981,ENSG00000080511,ENSG00000088053
ENSG00000100341,ENSG00000080573,ENSG00000088386
ENSG00000100721,ENSG00000085982,ENSG00000088876
ENSG00000102243,ENSG00000088986,ENSG00000089199
ENSG00000102962,ENSG00000091592,ENSG00000090520
ENSG00000102970,ENSG00000092108,ENSG00000092036
ENSG00000104435,ENSG00000100028,ENSG00000100196
ENSG00000104783,ENSG00000100592,ENSG00000100319
ENSG00000104918,ENSG00000103056,ENSG00000100612
ENSG00000104921,ENSG00000103196,ENSG00000102145
ENSG00000105369,ENSG00000104946,ENSG00000103021
ENSG00000105492,ENSG00000105467,ENSG00000103932
ENSG00000105989,ENSG00000105877,ENSG00000104611
ENSG00000107447,ENSG00000108984,ENSG00000104938
ENSG00000109205,ENSG00000109881,ENSG00000105605
ENSG00000109255,ENSG00000111237,ENSG00000106302
ENSG00000110244,ENSG00000111639,ENSG00000107165
ENSG00000111249,ENSG00000114062,ENSG00000111058
ENSG00000112333,ENSG00000114315,ENSG00000114316
ENSG00000113396,ENSG00000115318,ENSG00000114771
ENSG00000115009,ENSG00000115844,ENSG00000115226
ENSG00000115602,ENSG00000116285,ENSG00000115350
ENSG00000116031,ENSG00000116731,ENSG00000115839
ENSG00000116748,ENSG00000117115,ENSG00000118046
ENSG00000117069,ENSG00000117569,ENSG00000118898
ENSG00000120659,ENSG00000118900,ENSG00000119616
ENSG00000122145,ENSG00000119185,ENSG00000119655
ENSG00000122756,ENSG00000119614,ENSG00000119917
ENSG00000123500,ENSG00000120915,ENSG00000120088
ENSG00000124467,ENSG00000120937,ENSG00000120318
ENSG00000124882,ENSG00000121900,ENSG00000120647
ENSG00000125144,ENSG00000122176,ENSG00000123338
ENSG00000125813,ENSG00000122304,ENSG00000124784
ENSG00000126500,ENSG00000122912,ENSG00000125124
ENSG00000129451,ENSG00000124813,ENSG00000125485
ENSG00000130226,ENSG00000125450,ENSG00000128253
ENSG00000130294,ENSG00000125744,ENSG00000128271
ENSG00000130700,ENSG00000125970,ENSG00000129451
ENSG00000132185,ENSG00000126067,ENSG00000130649
ENSG00000132704,ENSG00000126233,ENSG00000131068
ENSG00000133048,ENSG00000126861,ENSG00000131738
ENSG00000133055,ENSG00000127947,ENSG00000134339
ENSG00000134042,ENSG00000129007,ENSG00000135248
ENSG00000134258,ENSG00000129038,ENSG00000135473
ENSG00000134339,ENSG00000129295,ENSG00000136487
ENSG00000134443,ENSG00000130300,ENSG00000136541
ENSG00000134595,ENSG00000131437,ENSG00000137073
ENSG00000134762,ENSG00000134245,ENSG00000137338
ENSG00000134873,ENSG00000134318,ENSG00000137720
ENSG00000135824,ENSG00000134516,ENSG00000137831
ENSG00000135925,ENSG00000135655,ENSG00000138030
ENSG00000137648,ENSG00000135845,ENSG00000138207
ENSG00000137673,ENSG00000136560,ENSG00000138326
ENSG00000137745,ENSG00000136861,ENSG00000138744
ENSG00000139330,ENSG00000137193,ENSG00000139370
ENSG00000142606,ENSG00000138246,ENSG00000140009
ENSG00000143297,ENSG00000138686,ENSG00000140941
ENSG00000144119,ENSG00000139549,ENSG00000142230
ENSG00000145087,ENSG00000140459,ENSG00000143184
ENSG00000145423,ENSG00000140743,ENSG00000143499
ENSG00000147041,ENSG00000141527,ENSG00000143799
ENSG00000152292,ENSG00000141639,ENSG00000143954
ENSG00000152611,ENSG00000142856,ENSG00000144136
ENSG00000154316,ENSG00000143107,ENSG00000145700
ENSG00000154764,ENSG00000143952,ENSG00000145839
ENSG00000155897,ENSG00000144063,ENSG00000145863
ENSG00000156234,ENSG00000144747,ENSG00000145901
ENSG00000157884,ENSG00000145833,ENSG00000147485
ENSG00000158477,ENSG00000145860,ENSG00000147689
ENSG00000158481,ENSG00000146066,ENSG00000148225
ENSG00000158485,ENSG00000146197,ENSG00000149050
ENSG00000158488,ENSG00000146856,ENSG00000149136
ENSG00000159387,ENSG00000149633,ENSG00000149243
ENSG00000159763,ENSG00000149922,ENSG00000151500
ENSG00000160307,ENSG00000153246,ENSG00000151849
ENSG00000162897,ENSG00000154305,ENSG00000152595
ENSG00000163207,ENSG00000154451,ENSG00000153896
ENSG00000163534,ENSG00000155189,ENSG00000155890
ENSG00000163735,ENSG00000155629,ENSG00000158042
ENSG00000164326,ENSG00000156966,ENSG00000158258
ENSG00000164400,ENSG00000156968,ENSG00000158683
ENSG00000164485,ENSG00000157131,ENSG00000158815
ENSG00000165061,ENSG00000157734,ENSG00000159884
ENSG00000166159,ENSG00000157765,ENSG00000160233
ENSG00000166897,ENSG00000158773,ENSG00000160886
ENSG00000167105,ENSG00000159176,ENSG00000160888
ENSG00000167434,ENSG00000159377,ENSG00000161217
ENSG00000167754,ENSG00000160097,ENSG00000162174
ENSG00000167755,ENSG00000160868,ENSG00000162747
ENSG00000167757,ENSG00000162222,ENSG00000163584
ENSG00000168081,ENSG00000162227,ENSG00000163607
ENSG00000168484,ENSG00000163431,ENSG00000164344
ENSG00000168702,ENSG00000163497,ENSG00000164713
ENSG00000168878,ENSG00000163631,ENSG00000164867
ENSG00000169035,ENSG00000163939,ENSG00000165102
ENSG00000169067,ENSG00000164007,ENSG00000166396
ENSG00000169218,ENSG00000164708,ENSG00000167614
ENSG00000169469,ENSG00000166106,ENSG00000167634
ENSG00000169594,ENSG00000166197,ENSG00000167771
ENSG00000169903,ENSG00000167202,ENSG00000167978
ENSG00000170054,ENSG00000167258,ENSG00000167996
ENSG00000170367,ENSG00000167371,ENSG00000168056
ENSG00000170369,ENSG00000167642,ENSG00000168135
ENSG00000170373,ENSG00000167925,ENSG00000168393
ENSG00000170786,ENSG00000168026,ENSG00000168685
ENSG00000171124,ENSG00000168234,ENSG00000168827
