,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,14(0.51),1(0.58),36-35-27-15(0.57),10(0.57),1-4(0.89),GE-MI(0.53),GE-ME-MI(0.19),GE-MI(0.17),GE-MI-CNV(0.19)
BRCA,38(0.6),3(0.61),40-40-40-40(0.59),0(0.6),Basal-Her2(0.92),GE-ME-MI(0.59),,GE-ME(0.14),GE-ME-MI-CNV(0.18)
COAD,8(0.48),2(0.46),47-45-34-34(0.45),10(0.44),CMS4-CMS3(0.79),GE-ME(0.48),GE-CNV(0.19),GE-CNV(0.15),GE-ME-CNV(0.19)
HNSC,8(0.4),7(0.38),71-62-57-44(0.39),0(0.39),Basal-Classical(0.64),GE-ME-MI(0.38),GE-ME(0.22),GE-ME-CNV(0.12),GE-ME(0.19)
KIRP,14(0.53),1(0.58),27-22-21(0.51),10(0.5),C1-C2b(0.65),GE-ME(0.53),GE-MI(0.25),GE-ME-CNV(0.2),GE-ME-MI-CNV(0.14)
LIHC,11(0.53),3(0.48),64-62-55(0.48),10(0.52),1-3(0.82),GE-ME(0.51),GE-MI-CNV(0.23),GE-MI(0.15),GE-MI-CNV(0.21)
LUAD,5(0.38),1(0.39),17-17-17-17-17-17(0.37),10(0.36),3-1(0.84),GE-ME(0.39),GE-ME(0.22),GE-ME-CNV(0.12),GE-MI-CNV(0.2)
SKCM,5(0.16),1(0.17),39-33-28-27(0.15),20(0.14),BRAF-TWT(0.28),GE-ME-CNV(0.15),GE-MI(0.2),GE-MI(0.12),GE-ME-CNV(0.15)
STAD,14(0.5),1(0.59),29-29-29-29(0.5),0(0.54),CIN-EBV(0.8),GE-ME-CNV(0.58),GE-CNV(0.2),GE-MI-CNV(0.13),GE-ME(0.2)
THCA,20(0.52),5(0.53),126-102-88-80-67(0.54),0(0.52),1-4(0.92),GE-MI(0.55),GE-CNV(0.2),GE-CNV(0.16),GE-CNV(0.16)
