,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,11(0.55),1(0.6),28-28-23-15(0.56),10(0.56),1-4(0.91),GE-MI(0.56),GE-ME(0.8),GE-MI(0.17),GE-ME(0.2)
BRCA,38(0.56),3(0.58),40-40-40-40(0.55),10(0.56),LumB-Basal(0.92),GE-MI(0.66),,GE-ME-CNV(0.14),GE-ME-MI-CNV(0.18)
COAD,32(0.5),5(0.5),68-63-35-34(0.52),0(0.5),CMS4-CMS1(0.71),GE-ME(0.5),GE-ME-MI(0.76),GE-CNV(0.15),GE-ME(0.21)
HNSC,11(0.45),20(0.39),74-65-59-44(0.4),0(0.39),Basal-Classical(0.75),GE-MI(0.4),GE-ME(0.74),GE-MI(0.12),GE-ME-MI(0.2)
KIRP,14(0.57),4(0.56),77-32-21(0.6),30(0.6),C1-C2b(0.71),GE-ME(0.54),GE-ME(0.73),GE-ME(0.23),GE-CNV(0.13)
LIHC,14(0.57),10(0.53),61-59-55(0.53),50(0.54),1-3(0.86),GE-ME(0.53),GE-ME(0.68),GE-MI(0.15),GE-ME(0.21)
LUAD,5(0.35),70(0.36),17-17-17-17-17-17(0.31),10(0.33),3-1(0.73),GE-ME-MI(0.33),GE-ME(0.88),GE-ME-MI-CNV(0.13),GE-ME-MI-CNV(0.2)
SKCM,5(0.18),1(0.17),135-81-43-27(0.2),20(0.17),BRAF-TWT(0.29),GE-ME-CNV(0.16),GE-ME(0.66),GE-MI(0.12),GE-ME-CNV(0.18)
STAD,26(0.54),1(0.63),29-29-29-29(0.55),0(0.57),CIN-EBV(0.91),GE-ME-MI-CNV(0.6),GE-ME(0.69),GE-ME-CNV(0.13),GE-ME(0.2)
THCA,8(0.47),2(0.47),133-106-91-82-67(0.49),0(0.45),1-4(0.88),GE-MI(0.55),GE-ME(0.82),GE-ME(0.17),GE-ME-CNV(0.18)
