,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,14(0.64),4(0.68),31-30-24-15(0.65),10(0.64),1-4(0.9),GE-ME(0.63),GE-ME(0.63),GE-MI(0.17),GE-ME(0.19)
BRCA,38(0.63),8(0.63),40-40-40-40(0.63),0(0.63),LumA-Basal(0.92),GE-MI(0.66),,GE-ME(0.13),GE-ME-MI(0.17)
COAD,14(0.5),3(0.5),34-34-34-34(0.49),10(0.48),CMS2-CMS1(0.8),GE-ME(0.49),GE-ME(0.64),GE-CNV(0.14),GE-ME(0.21)
HNSC,11(0.39),20(0.37),74-65-59-44(0.37),0(0.35),Basal-Atypical(0.74),GE-ME(0.36),GE-ME(0.58),GE-ME(0.11),GE-ME-MI(0.19)
KIRP,8(0.57),5(0.55),77-32-21(0.57),20(0.64),C1-C2b(0.76),GE-ME(0.57),GE-ME(0.6),GE-ME(0.23),GE-CNV(0.13)
LIHC,14(0.52),5(0.52),65-63-55(0.51),10(0.5),1-3(0.83),GE-ME(0.51),GE-ME(0.52),GE-ME(0.15),GE-ME-CNV(0.21)
LUAD,5(0.36),60(0.32),17-17-17-17-17-17(0.31),20(0.33),3-1(0.72),GE-ME-CNV(0.33),GE-ME(0.72),GE-ME-MI-CNV(0.13),GE-ME(0.19)
SKCM,5(0.19),1(0.17),123-75-41-27(0.17),10(0.16),BRAF-TWT(0.28),GE-ME-CNV(0.16),GE-ME(0.53),GE-MI(0.12),GE-ME-CNV(0.17)
STAD,26(0.52),1(0.56),29-29-29-29(0.52),0(0.55),CIN-EBV(0.89),GE-ME-MI-CNV(0.55),GE-ME(0.52),GE-ME-MI-CNV(0.12),GE-ME(0.2)
THCA,38(0.51),20(0.51),133-106-91-82-67(0.52),0(0.49),1-4(0.93),GE-MI(0.54),GE-ME(0.62),GE-ME-CNV(0.16),GE-ME-CNV(0.15)
