,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,SNF(4/4),SNF(18/19),NEMO(8/11),SNF(6/11),"SNF,IntNMF(5/11)",SNF(5/7),"CC,LRAclst(2/7)",NEMO(5/7),"IntNMF,COCA(3/7)"
BRCA,SNF(8/12),"SNF,NEMO(9/19)",SNF(8/11),NEMO(4/11),SNF(6/11),NEMO(7/7),,NEMO(2/7),IntNMF(3/7)
COAD,NEMO(10/10),NEMO(17/19),NEMO(7/11),PP(6/11),NEMO(9/11),NEMO(5/7),"COCA,CC(2/7)","NEMO,PP(2/7)",Spectrum(3/7)
HNSC,IntNMF(6/12),NEMO(10/19),NEMO(10/11),NEMO(4/11),NEMO(6/11),IntNMF(4/7),CC(4/7),CC(2/7),CC(3/7)
KIRP,SNF(6/6),SNF(19/19),PP(8/11),PP(5/11),SNF(3/4),Spectrum(3/7),"CC,IclusterPlus,IntNMF(2/7)",NEMO(4/7),"SNF,NEMO,COCA(2/7)"
LIHC,PP(8/12),PP(16/19),PP(9/11),PP(6/11),"SNF,NEMO,IclusterPlus,PP(1/4)","NEMO,PP(3/7)",CC(3/7),COCA(4/7),NEMO(2/7)
LUAD,SNF(3/4),SNF(10/19),SNF(6/11),"SNF,PP(3/11)",SNF(42/57),NEMO(4/7),CC(4/7),"CC,NEMO(2/7)",NEMO(4/7)
SKCM,PP(4/8),CC(6/19),PP(8/11),CC(4/11),MOFA(3/11),"MOFA,CC(2/7)","SNF,LRAclst(2/7)",NEMO(3/7),NEMO(4/7)
STAD,SNF(4/8),CC(8/19),SNF(6/11),CC(5/11),"SNF,CC(4/10)",CC(3/7),CC(3/7),PP(5/7),"NEMO,IntNMF(2/7)"
THCA,"NEMO,SNF(6/12)",SNF(13/19),CC(6/11),NEMO(5/11),SNF(11/26),Spectrum(4/7),"LRAclst,CC(3/7)",NEMO(3/7),LRAclst(4/7)
