,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,8(0.47),100(0.35),15-15-15-15(0.52),100(0.11),3-4(0.43),GE-CNV(0.32),GE-ME(0.18),GE-ME-MI-CNV(0.15),GE-ME-CNV(0.17)
BRCA,5(0.48),100(0.32),328-119-104-40(0.42),100(0.09),LumA-LumB(0.39),GE-CNV(0.35),,GE-CNV(0.1),GE-ME(0.13)
COAD,23(0.41),100(0.35),34-34-34-34(0.43),100(0.09),CMS3-CMS1(0.3),GE-CNV(0.35),GE-MI(0.18),GE-ME(0.11),GE-CNV(0.19)
HNSC,5(0.35),100(0.28),53-50-48-44(0.37),100(0.09),Atypical-Classical(0.35),GE-CNV(0.3),GE-MI(0.21),GE-ME-MI(0.11),GE-MI(0.18)
KIRP,8(0.48),100(0.26),77-32-21(0.47),100(0.12),C2a-C2b(0.43),GE-MI(0.38),GE-ME-MI-CNV(0.22),GE-CNV(0.18),GE-MI(0.11)
LIHC,35(0.48),100(0.32),57-56-55(0.47),100(0.12),3-2(0.35),GE-CNV(0.27),GE-ME-CNV(0.2),GE-ME(0.12),GE-ME-MI(0.19)
LUAD,11(0.36),100(0.26),35-31-28-23-20-17(0.33),90(0.08),5-3-6-4(0.29),GE-CNV(0.26),GE-MI-CNV(0.2),GE-CNV(0.11),GE-CNV(0.18)
SKCM,11(0.14),90(0.11),147-88-45-27(0.14),100(0.1),BRAF-RAS-TWT-NF1(0.13),GE-MI(0.13),GE-ME(0.18),GE-ME-CNV(0.1),GE-MI-CNV(0.14)
STAD,17(0.49),100(0.32),202-59-46-29(0.34),100(0.1),CIN-MSI(0.36),GE-MI(0.33),GE-ME-MI-CNV(0.18),GE-CNV(0.11),GE-ME-CNV(0.19)
THCA,8(0.49),100(0.36),67-67-67-67-67(0.51),100(0.08),5-3(0.25),GE-CNV(0.35),GE-MI(0.18),GE-ME-MI(0.15),GE-ME(0.13)
