,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,5(0.52),100(0.29),42-41-31-15(0.54),100(0.1),3-4(0.45),GE-CNV(0.31),GE-MI(0.19),GE-CNV(0.15),GE-CNV(0.18)
BRCA,5(0.47),100(0.27),299-111-97-40(0.43),100(0.09),LumA-LumB(0.3),GE-CNV(0.34),,GE-CNV(0.1),GE-CNV(0.14)
COAD,5(0.42),100(0.29),34-34-34-34(0.5),100(0.09),CMS2-CMS3(0.36),GE-CNV(0.35),GE-CNV(0.18),GE-MI(0.13),GE-CNV(0.19)
HNSC,32(0.39),100(0.22),71-62-57-44(0.39),100(0.1),Basal-Mesenchymal-Atypical-Classical(0.38),GE-CNV(0.29),GE-MI-CNV(0.21),GE-ME-MI-CNV(0.11),GE-MI(0.18)
KIRP,5(0.5),100(0.22),21-21-21(0.54),100(0.13),C1-C2a-C2b(0.54),GE-CNV(0.4),GE-CNV(0.23),GE-CNV(0.18),GE-ME-MI(0.11)
LIHC,5(0.49),100(0.36),59-58-55(0.52),100(0.12),3-2(0.45),GE-CNV(0.25),GE-CNV(0.22),GE-ME-MI(0.14),GE-MI-CNV(0.2)
LUAD,14(0.31),100(0.27),32-29-26-22-20-17(0.29),100(0.09),3-4(0.24),GE-MI-CNV(0.26),GE-MI-CNV(0.2),GE-CNV(0.11),GE-CNV(0.18)
SKCM,11(0.15),100(0.11),27-27-27-27(0.16),100(0.1),BRAF-RAS-TWT-NF1(0.15),GE-MI(0.13),GE-MI-CNV(0.19),GE-ME-CNV(0.11),GE-MI-CNV(0.14)
STAD,5(0.5),100(0.38),202-59-46-29(0.46),100(0.1),CIN-GS(0.33),GE-CNV(0.4),GE-MI-CNV(0.19),GE-CNV(0.11),GE-ME-MI-CNV(0.18)
THCA,26(0.45),100(0.23),67-67-67-67-67(0.46),100(0.08),5-3(0.21),GE-CNV(0.34),GE-MI(0.18),GE-MI-CNV(0.16),GE-MI(0.13)
