,Sample size,Feature selection,Balance,Robustness,Subtype combination,Subtype,Gender,Stage,Age
BLCA,5(0.6),100(0.43),42-41-31-15(0.62),100(0.11),3-4(0.62),GE-CNV(0.47),GE-MI-CNV(0.19),GE-CNV(0.15),GE-CNV(0.18)
BRCA,5(0.53),100(0.43),328-119-104-40(0.46),100(0.09),LumA-LumB(0.38),GE-CNV(0.44),,GE-CNV(0.1),GE-CNV(0.14)
COAD,20(0.47),100(0.4),61-57-34-34(0.46),100(0.09),CMS2-CMS4-CMS3-CMS1(0.48),GE-CNV(0.41),GE-CNV(0.18),GE-MI(0.12),GE-MI-CNV(0.18)
HNSC,38(0.35),2(0.31),59-54-51-44(0.35),100(0.1),Atypical-Classical(0.29),GE-CNV(0.28),GE-MI-CNV(0.21),GE-CNV(0.11),GE-MI(0.18)
KIRP,5(0.49),100(0.36),33-23-21(0.52),100(0.13),C2a-C2b(0.46),GE-MI(0.43),GE-MI-CNV(0.23),GE-MI(0.19),GE-MI(0.11)
LIHC,5(0.47),80(0.38),56-55-55(0.48),100(0.12),3-2(0.38),GE-CNV(0.29),GE-CNV(0.22),GE-MI-CNV(0.14),GE-MI-CNV(0.2)
LUAD,14(0.31),1(0.28),40-35-31-25-21-17(0.29),100(0.08),5-3-6-4(0.25),GE-MI-CNV(0.28),GE-MI-CNV(0.21),GE-CNV(0.1),GE-CNV(0.19)
SKCM,20(0.15),100(0.12),27-27-27-27(0.15),90(0.1),BRAF-RAS-TWT-NF1(0.13),GE-MI(0.13),GE-MI-CNV(0.19),GE-CNV(0.11),GE-MI-CNV(0.14)
STAD,5(0.47),100(0.47),202-59-46-29(0.4),100(0.09),CIN-GS(0.33),GE-CNV(0.43),GE-MI-CNV(0.19),GE-CNV(0.11),GE-CNV(0.18)
THCA,5(0.48),90(0.44),106-90-81-76-67(0.5),100(0.08),5-3(0.28),GE-CNV(0.41),GE-MI-CNV(0.19),GE-MI-CNV(0.15),GE-MI(0.12)
