GE,ME,MI
ENSG00000000003,cg00651829,hsa-miR-4739
ENSG00000000005,cg17027195,hsa-miR-4736
ENSG00000000419,cg04804717,hsa-miR-4738-3p
ENSG00000000938,cg09547119,hsa-miR-6793-5p
ENSG00000000971,cg09988853,hsa-miR-6794-3p
ENSG00000001626,cg25987194,hsa-miR-335-5p
ENSG00000002079,cg19088553,hsa-miR-339-5p
ENSG00000002587,cg06997305,hsa-miR-324-5p
ENSG00000002745,cg01843020,hsa-miR-331-3p
ENSG00000002746,cg17143565,hsa-miR-18a-3p
ENSG00000002933,cg04044188,hsa-miR-548j-3p
ENSG00000003096,cg06649048,hsa-miR-942-3p
ENSG00000003137,cg27592410,hsa-miR-1180-5p
ENSG00000003436,cg01573938,hsa-miR-486-3p
ENSG00000003989,cg14848284,hsa-miR-491-3p
ENSG00000004399,cg22939193,hsa-miR-1266-3p
ENSG00000004468,cg01557989,hsa-miR-146b-3p
ENSG00000004776,cg23617327,hsa-miR-497-3p
ENSG00000004799,cg17648210,hsa-miR-550a-5p
ENSG00000004809,cg22435791,hsa-miR-590-3p
ENSG00000004838,cg17217295,hsa-miR-548a-5p
ENSG00000004846,cg14364447,hsa-miR-511-3p
ENSG00000004848,cg23187159,hsa-miR-616-3p
ENSG00000004939,cg05551889,hsa-miR-489-5p
ENSG00000004948,cg09616959,hsa-miR-625-3p
ENSG00000005102,cg11525280,hsa-miR-181d-3p
ENSG00000005108,cg08196106,hsa-miR-570-5p
ENSG00000005187,cg09944213,hsa-miR-561-5p
ENSG00000005243,cg09835225,hsa-miR-1258
ENSG00000005249,cg14424049,hsa-let-7a-3p
ENSG00000005381,cg11417025,hsa-miR-15a-3p
ENSG00000005421,cg00353340,hsa-miR-16-1-3p
ENSG00000005448,cg09768093,hsa-miR-652-5p
ENSG00000005469,cg26851796,hsa-miR-584-3p
ENSG00000005471,cg22060611,hsa-miR-3165
ENSG00000005513,cg08703595,hsa-miR-3164
ENSG00000005844,cg03416085,hsa-miR-3159
ENSG00000005961,cg12492885,hsa-miR-3158-3p
ENSG00000005981,cg09569536,hsa-miR-365b-3p
ENSG00000006016,cg22977016,hsa-miR-3161
ENSG00000006059,cg16766249,hsa-miR-592
ENSG00000006071,cg11797365,hsa-miR-598-3p
ENSG00000006116,cg25438767,hsa-miR-192-3p
ENSG00000006128,cg16438655,hsa-miR-619-3p
ENSG00000006210,cg27581965,hsa-miR-616-5p
ENSG00000006283,cg11005316,hsa-miR-615-3p
ENSG00000006377,cg08575330,hsa-miR-614
ENSG00000006468,cg01477985,hsa-miR-4638-3p
ENSG00000006606,cg22539450,hsa-miR-4638-5p
ENSG00000006638,cg19248676,hsa-miR-4637
ENSG00000006659,cg24582168,hsa-miR-4636
ENSG00000006747,cg23782734,hsa-miR-7107-5p
ENSG00000006757,cg27152280,hsa-miR-7108-5p
ENSG00000006788,cg18736775,hsa-miR-937-3p
ENSG00000007001,cg24087887,hsa-miR-940
ENSG00000007038,cg00063703,hsa-miR-939-5p
ENSG00000007129,cg17323027,hsa-miR-548v
ENSG00000007171,cg11141156,hsa-miR-3148
ENSG00000007174,cg13002945,hsa-miR-4745-3p
ENSG00000007216,cg09248482,hsa-miR-4745-5p
ENSG00000007237,cg11504897,hsa-miR-4741
ENSG00000007264,cg10604168,hsa-miR-365a-3p
ENSG00000007306,cg21834512,hsa-miR-6844
ENSG00000007312,cg19611273,hsa-miR-6842-3p
ENSG00000007314,cg19359398,hsa-miR-1269b
ENSG00000007350,cg03442569,hsa-miR-887-5p
ENSG00000007402,cg19160799,hsa-miR-1224-5p
ENSG00000007516,cg08229358,hsa-miR-146a-5p
ENSG00000007908,cg11190071,hsa-miR-127-3p
ENSG00000007933,cg19449377,hsa-miR-191-5p
ENSG00000007952,cg03426451,hsa-miR-9-5p
ENSG00000007968,cg07622748,hsa-miR-9-3p
ENSG00000008056,cg25870420,hsa-miR-7702
ENSG00000008086,cg19010054,hsa-miR-7704
ENSG00000008118,cg03284866,hsa-miR-552-5p
ENSG00000008196,cg23678800,hsa-miR-580-5p
ENSG00000008197,cg10355837,hsa-miR-579-5p
ENSG00000008226,cg00393837,hsa-miR-411-3p
ENSG00000008277,cg11107669,hsa-miR-33b-3p
ENSG00000008300,cg12940104,hsa-miR-629-5p
ENSG00000008311,cg01263386,hsa-miR-654-3p
ENSG00000008438,cg24296452,hsa-miR-671-3p
ENSG00000008513,cg01587630,hsa-miR-23a-5p
