GE,ME,MI
ENSG00000005001,cg21661864,hsa-miR-1269b
ENSG00000006016,cg03603542,hsa-miR-519a-5p
ENSG00000006283,cg06401021,hsa-miR-518a-5p
ENSG00000006606,cg02152985,hsa-miR-466
ENSG00000006659,cg03082589,hsa-miR-3144-3p
ENSG00000006788,cg09780768,hsa-miR-5589-3p
ENSG00000007038,cg27103642,hsa-miR-1295b-3p
ENSG00000007062,cg10523411,hsa-miR-1295b-5p
ENSG00000007306,cg18158859,hsa-miR-1247-3p
ENSG00000010310,cg21012788,hsa-miR-483-3p
ENSG00000011677,cg09197397,hsa-miR-498-5p
ENSG00000016402,cg25963309,hsa-miR-520e-3p
ENSG00000019505,cg14596108,hsa-miR-512-3p
ENSG00000021300,cg23908638,hsa-miR-4652-5p
ENSG00000026559,cg00028598,hsa-miR-373-3p
ENSG00000029559,cg23060747,hsa-miR-525-5p
ENSG00000034053,cg03102386,hsa-miR-526b-5p
ENSG00000037965,cg11437140,hsa-miR-520a-3p
ENSG00000046774,cg19372359,hsa-miR-520a-5p
ENSG00000049283,cg19817795,hsa-miR-519c-3p
ENSG00000055118,cg21986027,hsa-miR-520f-3p
ENSG00000056291,cg16301599,hsa-miR-767-5p
ENSG00000060718,cg27452922,hsa-miR-517-5p
ENSG00000064195,cg14984943,hsa-miR-1269a
ENSG00000064270,cg23053506,hsa-miR-199b-5p
ENSG00000066230,cg08502239,hsa-miR-1911-5p
ENSG00000067715,cg20994929,hsa-miR-216a-5p
ENSG00000068985,cg09022852,hsa-miR-518e-3p
ENSG00000069011,cg04208666,hsa-miR-527
ENSG00000069482,cg01782790,hsa-miR-518a-3p
ENSG00000072195,cg04559323,hsa-miR-520h
ENSG00000073734,cg06726740,hsa-miR-216a-3p
ENSG00000074047,cg20792208,hsa-miR-548x-3p
ENSG00000074211,cg01708344,hsa-miR-216b-5p
ENSG00000075223,cg26769435,hsa-miR-516a-5p
ENSG00000075673,cg10925082,hsa-miR-518c-3p
ENSG00000077274,cg24878051,hsa-miR-520c-3p
ENSG00000079112,cg23468699,hsa-miR-518c-5p
ENSG00000080224,cg19761682,hsa-miR-518b
ENSG00000080293,cg03230133,hsa-miR-520b-3p
ENSG00000083307,cg12866112,hsa-miR-523-3p
ENSG00000087510,cg01773689,hsa-miR-518f-5p
ENSG00000088836,cg03538296,hsa-miR-200a-3p
ENSG00000090932,cg08866991,hsa-miR-196a-5p
ENSG00000091482,cg03899054,hsa-miR-483-5p
ENSG00000095713,cg16338365,hsa-miR-520g-3p
ENSG00000095777,cg24802078,hsa-miR-516b-5p
ENSG00000099399,cg12818940,hsa-miR-519d-3p
ENSG00000099960,cg03212161,hsa-miR-517a-3p
ENSG00000100170,cg02470440,hsa-miR-517b-3p
ENSG00000100253,cg06244947,hsa-miR-520d-3p
ENSG00000100652,cg07370087,hsa-miR-3923
ENSG00000101098,cg06834916,hsa-miR-1323
ENSG00000101115,cg16206344,hsa-miR-429
ENSG00000101144,cg05712300,hsa-miR-1247-5p
ENSG00000101187,cg24210280,hsa-miR-708-3p
ENSG00000101680,cg14260083,hsa-miR-708-5p
ENSG00000101951,cg23001918,hsa-miR-548b-3p
ENSG00000102021,cg02991085,hsa-miR-548y
ENSG00000102109,cg12463089,hsa-miR-767-3p
ENSG00000102230,cg25371590,hsa-miR-105-5p
ENSG00000102452,cg26687406,hsa-miR-141-5p
ENSG00000103089,cg06502570,hsa-miR-203b-3p
ENSG00000103723,cg17392573,hsa-miR-891a-5p
ENSG00000103742,cg01765882,
ENSG00000104044,cg06760904,
ENSG00000104140,cg26040583,
ENSG00000104369,cg01043710,
ENSG00000104413,cg11779019,
ENSG00000104435,cg16274207,
ENSG00000105048,cg10714510,
ENSG00000105290,cg11573608,
ENSG00000105426,cg08676614,
ENSG00000105509,cg12516359,
ENSG00000105641,cg21491163,
ENSG00000105664,cg10744928,
ENSG00000105855,cg04873098,
ENSG00000106236,cg26699102,
ENSG00000106633,cg05684406,
ENSG00000107159,cg01335210,
ENSG00000107187,cg18735956,
ENSG00000107317,cg18805027,
ENSG00000108309,cg22605290,
ENSG00000108813,cg01188314,
ENSG00000109101,cg08531260,
ENSG00000109205,cg09700054,
ENSG00000109625,cg20662737,
ENSG00000109956,cg10754395,
ENSG00000111344,cg13485703,
ENSG00000111713,cg20906524,
ENSG00000112164,cg23697546,
ENSG00000112273,cg11310716,
ENSG00000112559,cg21041775,
ENSG00000112812,cg08509927,
ENSG00000112981,cg00914384,
ENSG00000113100,cg25453625,
ENSG00000113249,cg01140660,
ENSG00000113327,cg24605023,
ENSG00000114529,cg12683085,
ENSG00000114923,cg05277736,
ENSG00000115361,cg15255946,
ENSG00000116014,cg19938791,
ENSG00000116031,cg23251349,
ENSG00000116035,cg24889466,
ENSG00000116039,cg14440571,
ENSG00000116183,cg09768294,
ENSG00000117122,cg03669037,
ENSG00000117983,cg01565291,
ENSG00000118017,cg10549331,
ENSG00000118194,cg06581093,
ENSG00000118733,cg21241989,
ENSG00000119888,cg21708692,
ENSG00000120057,cg07188523,
ENSG00000120088,cg25947490,
ENSG00000120149,cg06742628,
ENSG00000120669,cg25729401,
ENSG00000121446,cg06850787,
ENSG00000122691,cg03401875,
ENSG00000122756,cg13703866,
ENSG00000123243,cg25849029,
