GE,ME,MI
ENSG00000004846,cg25831075,hsa-miR-184
ENSG00000004848,cg05551889,hsa-miR-5589-3p
ENSG00000010282,cg23418339,hsa-miR-5589-5p
ENSG00000010438,cg14003035,hsa-miR-1247-3p
ENSG00000023839,cg26559315,hsa-miR-224-5p
ENSG00000026559,cg18914211,hsa-miR-1269a
ENSG00000043355,cg20512711,hsa-miR-205-5p
ENSG00000050628,cg24520538,hsa-miR-31-3p
ENSG00000054938,cg08304190,hsa-miR-217-5p
ENSG00000069011,cg05639912,hsa-miR-216a-5p
ENSG00000069206,cg01060026,hsa-miR-215-5p
ENSG00000070748,cg16543094,hsa-miR-802
ENSG00000074211,cg02938601,hsa-miR-424-3p
ENSG00000074317,cg19736128,hsa-miR-122-5p
ENSG00000077327,cg04217952,hsa-miR-503-5p
ENSG00000080511,cg12529672,hsa-miR-452-5p
ENSG00000081248,cg08901662,hsa-miR-452-3p
ENSG00000100362,cg20219381,hsa-miR-153-5p
ENSG00000100604,cg23989673,hsa-miR-5683
ENSG00000101746,cg14507560,hsa-miR-1247-5p
ENSG00000101958,cg14038391,
ENSG00000102854,cg04401986,
ENSG00000105409,cg24227481,
ENSG00000106031,cg02991085,
ENSG00000106809,cg14904662,
ENSG00000107447,cg07576175,
ENSG00000109193,cg05221738,
ENSG00000110675,cg26422458,
ENSG00000114638,cg14157435,
ENSG00000115194,cg17284804,
ENSG00000115507,cg26440289,
ENSG00000115602,cg11392885,
ENSG00000116183,cg01688536,
ENSG00000117148,cg21323441,
ENSG00000120088,cg00986824,
ENSG00000121075,cg16877924,
ENSG00000122133,cg04994773,
ENSG00000124134,cg03650674,
ENSG00000124260,cg26263234,
ENSG00000124875,cg02609127,
ENSG00000124882,cg18724200,
ENSG00000125798,cg16595261,
ENSG00000128564,cg16358679,
ENSG00000129991,cg05137450,
ENSG00000130283,cg03432338,
ENSG00000130294,cg17444839,
ENSG00000132821,cg12691866,
ENSG00000132855,cg16400794,
ENSG00000133020,cg25502144,
ENSG00000134240,cg13274077,
ENSG00000134339,cg00519002,
ENSG00000134363,cg20256117,
ENSG00000135480,cg20147819,
ENSG00000136155,cg04640675,
ENSG00000136327,cg05104639,
ENSG00000137142,cg11960115,
ENSG00000137440,cg09048251,
ENSG00000138039,cg10799055,
ENSG00000138207,cg10979436,
ENSG00000138675,cg04807470,
ENSG00000139304,cg04203238,
ENSG00000139352,cg23179456,
ENSG00000139800,cg23060646,
ENSG00000140287,cg04407470,
ENSG00000140519,cg02081266,
ENSG00000140675,cg09238180,
ENSG00000141449,cg02253760,
ENSG00000143839,cg22230538,
ENSG00000145242,cg08934846,
ENSG00000145626,cg03276408,
ENSG00000145920,cg01834022,
ENSG00000147481,cg21913319,
ENSG00000148408,cg06947913,
ENSG00000149452,cg08296831,
ENSG00000149534,cg15732851,
ENSG00000150201,cg22984571,
ENSG00000151224,cg17968795,
ENSG00000151365,cg19925204,
ENSG00000152092,cg09568647,
ENSG00000152207,cg14654886,
ENSG00000152931,cg07435294,
ENSG00000153446,cg22290744,
ENSG00000156466,cg21615583,
ENSG00000156564,cg03401357,
ENSG00000156925,cg10582968,
ENSG00000157613,cg25313172,
ENSG00000158296,cg15790037,
ENSG00000158553,cg13877670,
ENSG00000158560,cg01755562,
ENSG00000159184,cg22352818,
ENSG00000159251,cg07211212,
ENSG00000161896,cg00474080,
ENSG00000162391,cg06361405,
ENSG00000162598,cg27085741,
ENSG00000162624,cg20056542,
ENSG00000163064,cg04885832,
ENSG00000163586,cg03596016,
ENSG00000163751,cg20148575,
ENSG00000163873,cg16306190,
ENSG00000164438,cg01556502,
ENSG00000165061,cg06445016,
ENSG00000166105,cg22538054,
ENSG00000166869,cg17538572,
ENSG00000167080,cg13323489,
ENSG00000167434,cg24927800,
ENSG00000167748,cg21799346,
ENSG00000167757,cg00396667,
ENSG00000167798,cg23052826,
ENSG00000168539,cg09024126,
ENSG00000168671,cg09165441,
ENSG00000168703,cg14861089,
ENSG00000168843,cg22639293,
ENSG00000169006,cg01786994,
ENSG00000169297,cg17210929,
ENSG00000169900,cg00318756,
ENSG00000170231,cg20758882,
ENSG00000170419,cg12024969,
ENSG00000170498,cg01815671,
ENSG00000170837,cg12296772,
ENSG00000171243,cg00053010,
ENSG00000171431,cg18004756,
ENSG00000171759,cg06933574,
ENSG00000171873,cg24674445,
ENSG00000172156,cg08832906,
ENSG00000172497,cg22797031,
ENSG00000172724,cg21486470,
ENSG00000172995,cg21647189,
ENSG00000173467,cg18276016,
ENSG00000174562,cg02454890,
ENSG00000175121,cg18200311,
ENSG00000175315,cg21029769,
ENSG00000176153,cg12764034,
ENSG00000176406,cg11858226,
ENSG00000179242,cg03932723,
ENSG00000180287,cg26620530,
ENSG00000182459,cg23642130,
ENSG00000183036,cg11935153,
ENSG00000183378,cg08278357,
ENSG00000183960,cg18401367,
ENSG00000185332,cg12624667,
ENSG00000186335,cg09276315,
ENSG00000186684,cg05804220,
ENSG00000187714,cg26248173,
ENSG00000188338,cg03679755,
ENSG00000188505,cg03143164,
ENSG00000188803,cg27405731,
ENSG00000189056,cg18192417,
ENSG00000196353,cg22379915,
ENSG00000196611,cg26721877,
ENSG00000196859,cg02401454,
ENSG00000197408,cg19239199,
