GE,ME,MI
ENSG00000000005,cg13332474,hsa-miR-4739
ENSG00000000971,cg00651829,hsa-miR-4736
ENSG00000001626,cg17027195,hsa-miR-4738-5p
ENSG00000002079,cg17689707,hsa-miR-6825-3p
ENSG00000002745,cg05037210,hsa-miR-335-5p
ENSG00000002933,cg11461030,hsa-miR-339-5p
ENSG00000003096,cg13604020,hsa-miR-324-5p
ENSG00000003147,cg06320134,hsa-miR-331-3p
ENSG00000003249,cg19967582,hsa-miR-338-3p
ENSG00000003436,cg02023043,hsa-miR-324-3p
ENSG00000003989,cg05100739,hsa-miR-301b-3p
ENSG00000004139,cg08062011,hsa-miR-18a-3p
ENSG00000004468,cg16995983,hsa-miR-4510
ENSG00000004776,cg19570171,hsa-miR-4506
ENSG00000004799,cg10569615,hsa-miR-483-5p
ENSG00000004809,cg10409248,hsa-miR-942-3p
ENSG00000004838,cg02053188,hsa-miR-885-5p
ENSG00000004846,cg06992223,hsa-miR-1287-3p
ENSG00000004848,cg06649048,hsa-miR-486-3p
ENSG00000004948,cg26331625,hsa-miR-491-3p
ENSG00000005001,cg25808892,hsa-miR-1266-3p
ENSG00000005073,cg20106459,hsa-miR-1251-3p
ENSG00000005102,cg15981475,hsa-miR-146b-3p
ENSG00000005108,cg27592410,hsa-miR-6856-5p
ENSG00000005187,cg22875013,hsa-miR-550a-5p
ENSG00000005243,cg01573938,hsa-miR-590-3p
ENSG00000005249,cg14848284,hsa-miR-615-5p
ENSG00000005381,cg05005921,hsa-miR-616-3p
ENSG00000005421,cg17648210,hsa-miR-625-3p
ENSG00000005469,cg17217295,hsa-miR-628-5p
ENSG00000005471,cg14013337,hsa-miR-520f-5p
ENSG00000005513,cg11866303,hsa-miR-3667-3p
ENSG00000005844,cg27650778,hsa-let-7d-3p
ENSG00000005961,cg05551889,hsa-miR-561-5p
ENSG00000005981,cg11525280,hsa-miR-539-3p
ENSG00000006016,cg27541349,hsa-miR-1258
ENSG00000006047,cg19074496,hsa-miR-15a-3p
ENSG00000006059,cg14273450,hsa-miR-16-1-3p
ENSG00000006071,cg15842116,hsa-miR-652-5p
ENSG00000006128,cg03519711,hsa-miR-584-3p
ENSG00000006210,cg10536101,hsa-miR-3671
ENSG00000006283,cg02855833,hsa-miR-1185-1-3p
ENSG00000006377,cg09169673,hsa-miR-3157-5p
ENSG00000006555,cg12960305,hsa-miR-3161
ENSG00000006638,cg06205432,hsa-miR-592
ENSG00000006659,cg07082501,hsa-miR-598-3p
ENSG00000006747,cg08703595,hsa-miR-192-3p
ENSG00000006788,cg19318095,hsa-miR-618
ENSG00000007001,cg08603083,hsa-miR-617
ENSG00000007038,cg09569536,hsa-miR-616-5p
ENSG00000007062,cg12345456,hsa-miR-615-3p
ENSG00000007129,cg12643049,hsa-miR-614
ENSG00000007171,cg16438655,hsa-miR-4638-3p
ENSG00000007174,cg27581965,hsa-miR-4640-5p
ENSG00000007216,cg12789522,hsa-miR-7110-3p
ENSG00000007237,cg23363014,hsa-miR-937-3p
ENSG00000007264,cg19306063,hsa-miR-940
ENSG00000007306,cg13694746,hsa-miR-939-5p
ENSG00000007312,cg18308176,hsa-miR-518d-3p
ENSG00000007314,cg26337430,hsa-miR-517c-3p
ENSG00000007350,cg23782734,hsa-miR-548v
ENSG00000007372,cg21708767,hsa-miR-4745-3p
ENSG00000007402,cg22124479,hsa-miR-4745-5p
ENSG00000007516,cg14525935,hsa-miR-4742-3p
ENSG00000007908,cg27152280,hsa-miR-302d-3p
ENSG00000007933,cg03801902,hsa-miR-367-3p
ENSG00000007952,cg00643111,hsa-miR-302b-5p
ENSG00000007968,cg19925427,hsa-miR-302b-3p
ENSG00000008056,cg10848792,hsa-miR-302c-5p
ENSG00000008196,cg17323027,hsa-miR-302c-3p
ENSG00000008226,cg11141156,hsa-miR-636
ENSG00000008277,cg13002945,hsa-miR-5579-5p
ENSG00000008311,cg05628107,hsa-miR-6844
ENSG00000008323,cg19408619,hsa-miR-6842-3p
ENSG00000008516,cg18050959,hsa-miR-1269b
ENSG00000008735,cg03442569,hsa-miR-4521
ENSG00000009709,cg19160799,hsa-miR-4515
ENSG00000009724,cg24641993,hsa-miR-887-5p
ENSG00000009765,cg11190071,hsa-miR-1224-5p
ENSG00000009790,cg12910494,hsa-miR-519a-5p
ENSG00000009950,cg03846951,hsa-miR-518a-5p
ENSG00000010030,cg22976884,hsa-miR-146a-5p
ENSG00000010282,cg22684968,hsa-miR-191-5p
ENSG00000010295,cg21841963,hsa-miR-9-5p
ENSG00000010310,cg07461318,hsa-miR-9-3p
ENSG00000010319,cg13932362,hsa-miR-7702
ENSG00000010361,cg12409211,hsa-miR-7704
ENSG00000010379,cg10355837,hsa-miR-585-5p
ENSG00000010438,cg18157027,hsa-miR-552-5p
ENSG00000010610,cg24598449,hsa-miR-580-5p
ENSG00000010671,cg10327320,hsa-miR-579-5p
ENSG00000010932,cg12749636,hsa-miR-520g-5p
ENSG00000011052,cg17014086,hsa-miR-33b-3p
ENSG00000011083,cg03949008,hsa-miR-629-5p
ENSG00000011332,cg19646538,hsa-miR-671-3p
ENSG00000011347,cg12940104,hsa-miR-23a-5p
ENSG00000011426,cg24296452,hsa-miR-21-3p
ENSG00000011465,cg01587630,hsa-miR-19b-1-5p
ENSG00000011590,cg24400921,hsa-let-7c-3p
ENSG00000011677,cg16529483,hsa-miR-133a-5p
ENSG00000012124,cg23239078,hsa-miR-26a-1-3p
ENSG00000012223,cg20080006,hsa-miR-25-5p
ENSG00000012504,cg23027521,hsa-miR-3074-5p
ENSG00000012817,cg18248022,hsa-miR-200c-5p
ENSG00000013016,cg10715223,hsa-miR-3127-3p
ENSG00000013293,cg02449821,hsa-miR-155-3p
ENSG00000013297,cg00398276,hsa-miR-3150a-5p
ENSG00000013588,cg15928068,hsa-miR-466
ENSG00000013619,cg12738347,hsa-miR-3136-5p
ENSG00000013725,cg01005968,hsa-miR-5584-5p
ENSG00000015285,cg20200385,hsa-miR-5582-3p
