GE,ME,MI
ENSG00000000005,cg13332474,hsa-miR-4736
ENSG00000000938,cg00651829,hsa-miR-4738-3p
ENSG00000000971,cg13604020,hsa-miR-6794-5p
ENSG00000001084,cg22888418,hsa-miR-6827-5p
ENSG00000001561,cg20058937,hsa-miR-335-5p
ENSG00000001626,cg17331296,hsa-miR-339-5p
ENSG00000002079,cg07142201,hsa-miR-324-3p
ENSG00000002587,cg09988853,hsa-miR-18a-3p
ENSG00000002745,cg25987194,hsa-miR-299-5p
ENSG00000002746,cg26534468,hsa-miR-4512
ENSG00000002933,cg23859055,hsa-miR-4510
ENSG00000003096,cg13786089,hsa-miR-4504
ENSG00000003137,cg10527300,hsa-miR-483-5p
ENSG00000003147,cg04044188,hsa-miR-942-3p
ENSG00000003249,cg16969274,hsa-miR-1180-5p
ENSG00000003436,cg16617366,hsa-miR-885-5p
ENSG00000003989,cg08285646,hsa-miR-744-3p
ENSG00000004139,cg25616055,hsa-miR-6125
ENSG00000004399,cg08533745,hsa-miR-6858-3p
ENSG00000004468,cg01573938,hsa-miR-6856-5p
ENSG00000004776,cg08856529,hsa-miR-550a-5p
ENSG00000004799,cg03393017,hsa-miR-548a-5p
ENSG00000004809,cg23187159,hsa-miR-616-3p
ENSG00000004838,cg23817981,hsa-miR-625-3p
ENSG00000004846,cg05551889,hsa-miR-628-5p
ENSG00000004848,cg03706273,hsa-miR-520f-5p
ENSG00000004948,cg10605681,hsa-miR-1257
ENSG00000005001,cg08570341,hsa-miR-561-5p
ENSG00000005102,cg19301897,hsa-miR-539-3p
ENSG00000005108,cg09060908,hsa-miR-1258
ENSG00000005187,cg11417025,hsa-let-7a-3p
ENSG00000005249,cg04204669,hsa-miR-16-1-3p
ENSG00000005381,cg26141228,hsa-miR-652-5p
ENSG00000005421,cg09768093,hsa-miR-584-3p
ENSG00000005471,cg13093389,hsa-miR-1185-1-3p
ENSG00000005513,cg17967261,hsa-miR-3164
ENSG00000005844,cg24740218,hsa-miR-3158-3p
ENSG00000005884,cg04403423,hsa-miR-3157-5p
ENSG00000005961,cg23058177,hsa-miR-3156-5p
ENSG00000005981,cg00382999,hsa-miR-365b-3p
ENSG00000006025,cg16766249,hsa-miR-592
ENSG00000006047,cg10024501,hsa-miR-597-5p
ENSG00000006059,cg06598091,hsa-miR-598-3p
ENSG00000006071,cg23363014,hsa-miR-573
ENSG00000006116,cg19306063,hsa-miR-616-5p
ENSG00000006128,cg05925497,hsa-miR-615-3p
ENSG00000006210,cg03261347,hsa-miR-614
ENSG00000006283,cg09984047,hsa-miR-208a-3p
ENSG00000006327,cg12686317,hsa-miR-632
ENSG00000006377,cg08684733,hsa-miR-4638-3p
ENSG00000006468,cg01089425,hsa-miR-4636
ENSG00000006606,cg21207665,hsa-miR-4634
ENSG00000006611,cg10809165,hsa-miR-4640-5p
ENSG00000006638,cg05819371,hsa-miR-4639-3p
ENSG00000006659,cg16240683,hsa-miR-532-3p
ENSG00000006747,cg15128226,hsa-miR-7110-5p
ENSG00000006788,cg26541920,hsa-miR-937-3p
ENSG00000007038,cg01435643,hsa-miR-940
ENSG00000007062,cg10604168,hsa-miR-942-5p
ENSG00000007129,cg27147615,hsa-miR-517c-3p
ENSG00000007171,cg23545250,hsa-miR-376a-2-5p
ENSG00000007174,cg03287340,hsa-miR-548v
ENSG00000007216,cg24641993,hsa-miR-4745-3p
ENSG00000007237,cg21375506,hsa-miR-4745-5p
ENSG00000007255,cg21760363,hsa-miR-365a-3p
ENSG00000007264,cg03846951,hsa-miR-302b-3p
ENSG00000007306,cg06351796,hsa-miR-6843-3p
ENSG00000007312,cg18434367,hsa-miR-6840-3p
ENSG00000007314,cg22530691,hsa-miR-1269b
