GE,ME,MI
ENSG00000000003,cg23340034,hsa-miR-4739
ENSG00000000005,cg10855395,hsa-miR-4740-5p
ENSG00000000460,cg10609310,hsa-miR-4735-5p
ENSG00000000938,cg04804717,hsa-miR-4735-3p
ENSG00000000971,cg08550242,hsa-miR-4736
ENSG00000001084,cg18757087,hsa-miR-3064-5p
ENSG00000001167,cg06488536,hsa-miR-3064-3p
ENSG00000001461,cg06959635,hsa-miR-4738-5p
ENSG00000001561,cg12186618,hsa-miR-4738-3p
ENSG00000001617,cg23892690,hsa-miR-6791-3p
ENSG00000001626,cg00036732,hsa-miR-6791-5p
ENSG00000001629,cg20060206,hsa-miR-6790-3p
ENSG00000001631,cg01201797,hsa-miR-6793-3p
ENSG00000002016,cg09547119,hsa-miR-6793-5p
ENSG00000002079,cg10144336,hsa-miR-6792-3p
ENSG00000002330,cg06533895,hsa-miR-6792-5p
ENSG00000002549,cg12194824,hsa-miR-6794-3p
ENSG00000002586,cg26366091,hsa-miR-6794-5p
ENSG00000002587,cg11703729,hsa-miR-6732-5p
ENSG00000002745,cg17316030,hsa-miR-6825-3p
ENSG00000002746,cg12434944,hsa-miR-6825-5p
ENSG00000002822,cg20899625,hsa-miR-6826-3p
ENSG00000002834,cg01965939,hsa-miR-6826-5p
ENSG00000002919,cg02023043,hsa-miR-6827-3p
ENSG00000002933,cg18847009,hsa-miR-6827-5p
ENSG00000003096,cg12152384,hsa-miR-335-5p
ENSG00000003137,cg03167763,hsa-miR-339-5p
ENSG00000003147,cg01132443,hsa-miR-324-5p
ENSG00000003249,cg06401021,hsa-miR-331-3p
ENSG00000003393,cg15161854,hsa-miR-338-3p
ENSG00000003400,cg08979319,hsa-miR-324-3p
ENSG00000003402,cg13786089,hsa-miR-18a-3p
ENSG00000003436,cg14182621,hsa-miR-299-5p
ENSG00000003756,cg08436089,hsa-miR-4511
ENSG00000003987,cg21024234,hsa-miR-4510
ENSG00000003989,cg12123019,hsa-miR-4507
ENSG00000004059,cg21957813,hsa-miR-4506
ENSG00000004139,cg21859594,hsa-miR-2392
ENSG00000004142,cg10527300,hsa-miR-4504
ENSG00000004399,cg18261205,hsa-miR-4505
ENSG00000004455,cg08397758,hsa-miR-548e-5p
ENSG00000004468,cg18417061,hsa-miR-483-5p
ENSG00000004478,cg03231860,hsa-miR-942-3p
ENSG00000004534,cg14504269,hsa-miR-1180-5p
ENSG00000004660,cg16495212,hsa-miR-885-5p
ENSG00000004700,cg24749470,hsa-miR-1287-3p
ENSG00000004776,cg21832537,hsa-miR-548f-5p
ENSG00000004777,cg24601480,hsa-miR-486-3p
ENSG00000004779,cg00367615,hsa-miR-491-3p
ENSG00000004799,cg14254080,hsa-miR-6125
ENSG00000004809,cg08533745,hsa-miR-6126
ENSG00000004838,cg06807397,hsa-miR-490-5p
ENSG00000004846,cg20106459,hsa-miR-3192-3p
ENSG00000004848,cg25831075,hsa-miR-1251-3p
ENSG00000004864,cg15981475,hsa-miR-146b-3p
ENSG00000004866,cg26131286,hsa-miR-3675-5p
ENSG00000004897,cg14945937,hsa-miR-497-3p
ENSG00000004939,cg25201372,hsa-miR-1256
ENSG00000004948,cg23907053,hsa-miR-6856-5p
ENSG00000004961,cg16904330,hsa-miR-885-3p
ENSG00000004975,cg00934322,hsa-miR-550a-5p
ENSG00000005001,cg00017062,hsa-miR-590-3p
ENSG00000005007,cg24404823,hsa-miR-548a-5p
ENSG00000005020,cg10131836,hsa-miR-511-3p
ENSG00000005022,cg19440734,hsa-miR-616-3p
ENSG00000005073,cg11610614,hsa-miR-625-3p
ENSG00000005075,cg01046026,hsa-miR-628-5p
ENSG00000005100,cg12754571,hsa-miR-181d-3p
ENSG00000005102,cg05908587,hsa-miR-520f-5p
ENSG00000005108,cg18910298,hsa-miR-3667-3p
ENSG00000005156,cg08178168,hsa-miR-570-5p
ENSG00000005187,cg23817981,hsa-let-7e-3p
ENSG00000005194,cg16306654,hsa-miR-539-3p
ENSG00000005206,cg25513635,hsa-miR-7155-3p
ENSG00000005243,cg04093349,hsa-let-7a-3p
ENSG00000005249,cg05551889,hsa-miR-450a-1-3p
ENSG00000005302,cg22009464,hsa-miR-15a-3p
ENSG00000005381,cg15579587,hsa-miR-652-5p
ENSG00000005421,cg18044113,hsa-miR-584-3p
ENSG00000005448,cg23580725,hsa-miR-3671
ENSG00000005469,cg05336982,hsa-miR-3190-3p
ENSG00000005471,cg19074496,hsa-miR-1185-1-3p
ENSG00000005486,cg09060908,hsa-miR-3165
ENSG00000005513,cg01468309,hsa-miR-3164
ENSG00000005700,cg14273450,hsa-miR-3159
ENSG00000005801,cg05348973,hsa-miR-3158-3p
ENSG00000005810,cg20023120,hsa-miR-3157-5p
ENSG00000005812,cg05103992,hsa-miR-3156-5p
ENSG00000005844,cg22626522,hsa-miR-3163
ENSG00000005882,cg11938455,hsa-miR-365b-3p
ENSG00000005884,cg11543397,hsa-miR-3161
ENSG00000005889,cg05890484,hsa-miR-3160-3p
ENSG00000005893,cg05226729,hsa-miR-592
ENSG00000005961,cg19903196,hsa-miR-596
ENSG00000005981,cg02855836,hsa-miR-599
ENSG00000006007,cg09693106,hsa-miR-598-3p
ENSG00000006016,cg05021743,hsa-miR-600
ENSG00000006025,cg12960305,hsa-miR-192-3p
ENSG00000006042,cg02586730,hsa-miR-619-3p
ENSG00000006047,cg04350307,hsa-miR-618
ENSG00000006059,cg23363754,hsa-miR-616-5p
ENSG00000006062,cg06230848,hsa-miR-615-3p
ENSG00000006071,cg06205432,hsa-miR-614
ENSG00000006116,cg04163475,hsa-miR-612
ENSG00000006118,cg16326902,hsa-miR-1469
ENSG00000006128,cg14726637,hsa-miR-632
ENSG00000006210,cg07305723,hsa-miR-4639-5p
ENSG00000006282,cg10451940,hsa-miR-4638-3p
ENSG00000006283,cg04093633,hsa-miR-4638-5p
ENSG00000006327,cg13997788,hsa-miR-4637
ENSG00000006377,cg12492885,hsa-miR-4636
ENSG00000006432,cg00382999,hsa-miR-4635
ENSG00000006451,cg07550921,hsa-miR-4634
ENSG00000006453,cg10769531,hsa-miR-4633-3p
ENSG00000006468,cg04568398,hsa-miR-4640-5p
ENSG00000006530,cg05458429,hsa-miR-4639-3p
ENSG00000006534,cg00085790,hsa-miR-449c-3p
ENSG00000006555,cg23093090,hsa-miR-7108-3p
ENSG00000006576,cg13430755,hsa-miR-7109-3p
ENSG00000006606,cg25438767,hsa-miR-7110-5p
ENSG00000006607,cg07740599,hsa-miR-7106-3p
ENSG00000006611,cg13529733,hsa-miR-7107-5p
ENSG00000006625,ch.2.71774667F,hsa-miR-7107-3p
ENSG00000006634,cg21243631,hsa-miR-7108-5p
ENSG00000006638,cg21204860,hsa-miR-7110-3p
ENSG00000006652,cg11092157,hsa-miR-7111-5p
ENSG00000006659,cg04565067,hsa-miR-937-3p
ENSG00000006695,cg07311994,hsa-miR-940
ENSG00000006704,cg23845249,hsa-miR-939-5p
ENSG00000006712,cg23224619,hsa-miR-942-5p
ENSG00000006715,cg08824847,hsa-miR-517c-3p
ENSG00000006744,cg08819647,hsa-miR-943
ENSG00000006747,cg04503340,hsa-miR-6759-5p
ENSG00000006757,cg25591469,hsa-miR-3148
ENSG00000006788,cg12319602,hsa-miR-6829-3p
ENSG00000006831,cg09456289,hsa-miR-4745-3p
ENSG00000006837,cg02834765,hsa-miR-4742-3p
ENSG00000007001,cg22960952,hsa-miR-4742-5p
ENSG00000007038,cg04686763,hsa-miR-4741
ENSG00000007062,cg13049624,hsa-miR-4740-3p
ENSG00000007080,cg13451356,hsa-miR-122b-5p
ENSG00000007129,cg05918002,hsa-miR-4744
ENSG00000007171,cg27309110,hsa-miR-4743-5p
ENSG00000007174,cg11523799,hsa-miR-6133
ENSG00000007202,cg15846482,hsa-miR-6132
ENSG00000007216,cg19013178,hsa-miR-6131
ENSG00000007237,cg16620229,hsa-miR-6130
ENSG00000007255,cg27572927,hsa-miR-6129
ENSG00000007264,cg03885332,hsa-miR-378j
ENSG00000007306,cg21207665,hsa-miR-302d-3p
ENSG00000007312,cg14002960,hsa-miR-367-3p
ENSG00000007314,cg13026629,hsa-miR-638
ENSG00000007341,cg10379653,hsa-miR-365a-3p
ENSG00000007350,cg05819371,hsa-miR-302b-3p
ENSG00000007372,cg16240683,hsa-miR-302c-5p
ENSG00000007376,cg06005199,hsa-miR-302c-3p
ENSG00000007384,cg00066663,hsa-miR-636
ENSG00000007392,cg23163573,hsa-miR-6817-3p
ENSG00000007402,cg05761734,hsa-miR-5579-5p
ENSG00000007516,cg00340958,hsa-miR-6843-3p
ENSG00000007541,cg08666707,hsa-miR-6844
ENSG00000007866,cg03518533,hsa-miR-6840-5p
ENSG00000007908,cg08609578,hsa-miR-6840-3p
ENSG00000007933,cg02237119,hsa-miR-6839-5p
ENSG00000007944,cg10604168,hsa-miR-6842-5p
ENSG00000007952,cg27147615,hsa-miR-6842-3p
ENSG00000007968,cg20253561,hsa-miR-6841-5p
ENSG00000008018,cg18597188,hsa-miR-6841-3p
ENSG00000008056,cg23545250,hsa-miR-1269b
ENSG00000008083,cg17845680,hsa-miR-4521
ENSG00000008086,cg26894575,hsa-miR-631
ENSG00000008118,cg02088237,hsa-miR-4513
ENSG00000008128,cg22660578,hsa-miR-4516
ENSG00000008130,cg13597417,hsa-miR-4515
ENSG00000008196,cg09592244,hsa-miR-4518
ENSG00000008197,cg10790747,hsa-miR-4520-3p
ENSG00000008226,cg22843797,hsa-miR-4519
ENSG00000008256,cg05243438,hsa-miR-216b-3p
ENSG00000008277,cg01115923,hsa-miR-887-5p
ENSG00000008282,cg04131799,hsa-miR-208b-5p
ENSG00000008283,cg07705835,hsa-miR-1224-5p
ENSG00000008294,cg20359363,hsa-miR-1224-3p
ENSG00000008300,cg06351796,hsa-miR-519a-5p
ENSG00000008311,cg23368787,hsa-miR-518a-5p
ENSG00000008323,cg19333286,hsa-miR-136-5p
ENSG00000008324,cg22757362,hsa-miR-146a-5p
ENSG00000008382,cg05231480,hsa-miR-126-5p
ENSG00000008394,cg03284866,hsa-miR-126-3p
ENSG00000008405,cg13549152,hsa-miR-127-3p
ENSG00000008438,cg10163050,hsa-miR-134-5p
ENSG00000008441,cg20986875,hsa-miR-9-5p
ENSG00000008513,cg27655716,hsa-miR-9-3p
ENSG00000008516,cg07447769,hsa-miR-125a-5p
ENSG00000008517,cg04304705,hsa-miR-7702
ENSG00000008710,cg07720856,hsa-miR-7703
ENSG00000008735,cg17362900,hsa-miR-7704
ENSG00000008869,cg06420129,hsa-miR-585-5p
ENSG00000008952,cg09315586,hsa-miR-552-5p
ENSG00000008988,cg03949008,hsa-miR-487b-5p
ENSG00000009335,cg19646538,hsa-miR-580-5p
ENSG00000009413,cg24296452,hsa-miR-579-5p
ENSG00000009709,cg19735698,hsa-miR-520g-5p
ENSG00000009724,cg23245007,hsa-miR-519d-5p
ENSG00000009765,cg08554257,hsa-miR-510-3p
ENSG00000009780,cg25331073,hsa-miR-504-3p
ENSG00000009790,cg06419964,hsa-miR-411-3p
ENSG00000009830,cg06339706,hsa-miR-33b-3p
ENSG00000009950,cg05487207,hsa-miR-654-3p
ENSG00000010017,cg15658784,hsa-miR-671-3p
ENSG00000010030,cg04117801,hsa-miR-24-2-5p
ENSG00000010219,cg16761581,hsa-miR-23a-5p
ENSG00000010256,cg03954918,hsa-miR-22-5p
ENSG00000010278,cg14037250,hsa-miR-21-3p
ENSG00000010282,cg08724310,hsa-miR-20a-3p
ENSG00000010292,cg02927618,hsa-miR-550b-2-5p
ENSG00000010295,cg22043168,hsa-miR-19b-1-5p
ENSG00000010310,cg26540515,hsa-let-7c-3p
ENSG00000010318,cg10715223,hsa-miR-152-5p
ENSG00000010319,cg13246235,hsa-miR-133a-5p
ENSG00000010322,cg09406856,hsa-miR-26a-1-3p
ENSG00000010327,cg04567445,hsa-miR-25-5p
ENSG00000010361,cg05231970,hsa-miR-3074-5p
ENSG00000010379,cg08246800,hsa-miR-3156-3p
ENSG00000010404,cg02344833,hsa-miR-200c-5p
ENSG00000010438,cg24993735,hsa-miR-3124-3p
ENSG00000010539,cg01280841,hsa-miR-3127-3p
ENSG00000010610,cg00220737,hsa-miR-3129-3p
ENSG00000010626,cg23146197,hsa-miR-3136-3p
ENSG00000010671,cg06022562,hsa-miR-3140-5p
ENSG00000010704,cg13772815,hsa-miR-155-3p
ENSG00000010803,cg05911153,hsa-miR-3150a-5p
ENSG00000010810,cg07586956,hsa-miR-3152-5p
ENSG00000010818,cg14985076,hsa-miR-3138
ENSG00000010932,cg01411786,hsa-miR-3139
ENSG00000011009,cg06312813,hsa-miR-3137
ENSG00000011028,cg01132484,hsa-miR-466
ENSG00000011052,cg15694605,hsa-miR-3136-5p
ENSG00000011083,cg14215711,hsa-miR-323b-5p
ENSG00000011105,cg06193004,hsa-miR-3140-3p
ENSG00000011114,cg18862767,hsa-miR-548t-5p
ENSG00000011143,cg23431175,hsa-miR-3529-3p
ENSG00000011198,cg20272979,hsa-miR-5583-3p
ENSG00000011243,cg00834796,hsa-miR-5584-5p
ENSG00000011258,cg18141622,hsa-miR-5582-3p
ENSG00000011260,cg14823789,hsa-miR-5586-5p
ENSG00000011332,cg14875327,hsa-miR-5584-3p
ENSG00000011347,cg03002848,hsa-miR-5585-5p
ENSG00000011376,cg21139076,hsa-miR-5586-3p
ENSG00000011405,cg23874606,hsa-miR-5587-5p
ENSG00000011422,cg23547429,hsa-miR-548j-3p
ENSG00000011426,cg13338783,hsa-miR-7106-5p
ENSG00000011454,cg24621042,hsa-miR-6812-3p
ENSG00000011465,cg00253228,hsa-miR-1229-3p
ENSG00000011478,cg11654900,hsa-miR-4664-3p
ENSG00000011523,cg02494593,hsa-miR-4665-5p
ENSG00000011566,cg21012788,hsa-miR-4659b-3p
ENSG00000011590,cg22875643,hsa-miR-4662b
ENSG00000011600,cg23302570,hsa-miR-4664-5p
ENSG00000011638,cg06782204,hsa-miR-4662a-5p
ENSG00000011677,cg04920032,hsa-miR-4662a-3p
ENSG00000012048,cg17586094,hsa-miR-6810-3p
ENSG00000012124,cg05998426,hsa-miR-1227-3p
ENSG00000012171,cg16974893,hsa-miR-3622b-5p
ENSG00000012174,cg02056653,hsa-miR-3622a-3p
ENSG00000012211,cg03291396,hsa-miR-3622b-3p
ENSG00000012223,cg07046426,hsa-miR-3620-3p
ENSG00000012232,cg05275832,hsa-miR-23c
ENSG00000012504,cg09480190,hsa-miR-3622a-5p
ENSG00000012660,cg24170090,hsa-miR-3621
ENSG00000012779,cg15869718,hsa-miR-208b-3p
ENSG00000012817,cg05354171,hsa-miR-450a-5p
ENSG00000012822,cg11163555,hsa-miR-449a
ENSG00000012983,cg02162453,hsa-miR-4726-3p
ENSG00000013016,cg08846870,hsa-miR-4727-5p
ENSG00000013275,cg14292572,hsa-miR-4725-3p
ENSG00000013293,cg05170759,hsa-miR-4726-5p
ENSG00000013297,cg02102889,hsa-miR-4724-3p
ENSG00000013306,cg06066601,hsa-miR-4725-5p
ENSG00000013364,cg03116948,hsa-miR-4724-5p
ENSG00000013374,cg18022346,hsa-miR-4727-3p
ENSG00000013375,cg08090385,hsa-miR-4728-5p
ENSG00000013392,cg22789976,hsa-miR-3120-5p
ENSG00000013441,cg01857838,hsa-miR-3121-5p
ENSG00000013503,cg11274314,hsa-miR-762
ENSG00000013561,cg04437762,hsa-miR-3117-5p
ENSG00000013573,cg13577188,hsa-miR-363-3p
ENSG00000013583,cg16886175,hsa-miR-362-5p
ENSG00000013588,cg24413781,hsa-miR-5087
ENSG00000013619,cg27322863,hsa-miR-6847-3p
ENSG00000013725,cg09595384,hsa-miR-6847-5p
ENSG00000013810,cg20720597,hsa-miR-6848-3p
ENSG00000014138,cg26057969,hsa-miR-6848-5p
ENSG00000014164,cg09952002,hsa-miR-6845-3p
ENSG00000014216,cg06785999,hsa-miR-6845-5p
ENSG00000014641,cg05229965,hsa-miR-6846-5p
ENSG00000014824,cg22364465,hsa-miR-6849-3p
ENSG00000014914,cg25285053,hsa-miR-6849-5p
ENSG00000014919,cg17108958,hsa-miR-523-5p
ENSG00000015133,cg05433391,hsa-miR-5088-3p
