GE,ME,MI
ENSG00000000005,cg01573938,hsa-miR-335-5p
ENSG00000002746,cg17648210,hsa-miR-942-3p
ENSG00000004776,cg09835225,hsa-miR-491-3p
ENSG00000004846,cg27152280,hsa-miR-584-3p
ENSG00000004848,cg13002945,hsa-miR-592
ENSG00000005108,cg09248482,hsa-miR-615-3p
ENSG00000005513,cg11190071,hsa-miR-4636
ENSG00000006016,cg10355837,hsa-miR-548v
ENSG00000006128,cg01263386,hsa-miR-1269b
ENSG00000006377,cg01587630,hsa-miR-1224-5p
ENSG00000007216,cg08217227,hsa-miR-7702
ENSG00000010932,cg10639888,hsa-miR-552-5p
ENSG00000012124,cg09876651,hsa-miR-33b-3p
ENSG00000013293,cg21968535,hsa-let-7c-3p
ENSG00000013297,cg14961949,hsa-miR-26a-1-3p
ENSG00000015592,cg23905374,hsa-miR-155-3p
ENSG00000016490,cg06593050,hsa-miR-362-5p
ENSG00000017427,cg01898661,hsa-miR-188-5p
ENSG00000018236,cg24337338,hsa-miR-1247-3p
ENSG00000018625,cg20964285,hsa-miR-1304-3p
ENSG00000019102,cg19704348,hsa-miR-3651
ENSG00000019169,cg13355047,hsa-miR-483-3p
ENSG00000019186,cg04226714,hsa-miR-181d-5p
ENSG00000029559,cg11144056,hsa-miR-3940-5p
ENSG00000034971,cg05676541,hsa-miR-3934-3p
ENSG00000037965,cg13990926,hsa-miR-4652-5p
ENSG00000038295,cg19752891,hsa-miR-4746-5p
ENSG00000039987,cg07956515,hsa-miR-196b-3p
ENSG00000041353,cg03192963,hsa-miR-146a-3p
ENSG00000042832,cg18438546,hsa-miR-125b-2-3p
ENSG00000043039,cg01725608,hsa-miR-99a-3p
ENSG00000043355,cg05312353,hsa-miR-29b-1-5p
ENSG00000046889,cg13775316,hsa-miR-1266-5p
ENSG00000047457,cg00745555,hsa-miR-1269a
ENSG00000048540,cg24450494,hsa-miR-1275
ENSG00000048545,cg18699804,hsa-miR-204-5p
ENSG00000050628,cg25525687,hsa-miR-187-3p
ENSG00000054356,cg27269940,hsa-miR-490-3p
ENSG00000054803,cg16445574,hsa-miR-3194-5p
ENSG00000054938,cg00524310,hsa-miR-31-5p
ENSG00000057593,cg09586080,hsa-miR-32-3p
ENSG00000059915,cg06705526,hsa-miR-31-3p
ENSG00000060718,cg12396999,hsa-miR-92a-1-5p
ENSG00000061455,cg15866977,hsa-miR-206
ENSG00000064195,cg24890054,hsa-miR-1911-5p
ENSG00000064300,cg10397322,hsa-miR-218-5p
ENSG00000064886,cg25364343,hsa-miR-217-5p
ENSG00000065609,cg19045644,hsa-miR-1-3p
ENSG00000066294,cg20569287,hsa-miR-3662
ENSG00000066405,cg23076591,hsa-miR-99a-5p
ENSG00000067798,cg09396196,hsa-miR-95-3p
ENSG00000067840,cg27085904,hsa-miR-33a-5p
ENSG00000068615,cg22684008,hsa-miR-935
ENSG00000068781,cg13233166,hsa-miR-4446-3p
ENSG00000070031,cg02197293,hsa-miR-1248
ENSG00000070193,cg23926649,hsa-miR-942-5p
ENSG00000071991,cg04915780,hsa-miR-133a-3p
ENSG00000072041,cg14021564,hsa-miR-122-5p
ENSG00000072133,cg21184256,hsa-miR-551a
ENSG00000072694,cg27507700,hsa-miR-552-3p
ENSG00000073067,cg26887632,hsa-miR-222-5p
ENSG00000075035,cg08911275,hsa-miR-548d-3p
ENSG00000075340,cg17064051,hsa-miR-4676-5p
ENSG00000075461,cg16663570,hsa-miR-499a-5p
ENSG00000077264,cg10594709,hsa-miR-301b-3p
ENSG00000078053,cg02150369,hsa-miR-92b-5p
ENSG00000078295,cg10155681,hsa-miR-215-3p
ENSG00000078549,cg23828595,hsa-miR-20a-3p
