GE,ME,MI
ENSG00000001626,cg23907053,hsa-miR-146b-3p
ENSG00000006071,cg21243631,hsa-miR-136-5p
ENSG00000010438,cg21204860,hsa-miR-654-3p
ENSG00000012779,cg08824847,hsa-miR-1247-3p
ENSG00000018236,cg07447769,hsa-miR-382-5p
ENSG00000019169,cg08554257,hsa-miR-370-3p
ENSG00000034971,cg07586956,hsa-miR-375-3p
ENSG00000035720,cg00253228,hsa-miR-136-3p
ENSG00000039537,cg23611697,hsa-miR-127-5p
ENSG00000041353,cg09126279,hsa-miR-204-5p
ENSG00000048462,cg07694621,hsa-miR-199b-5p
ENSG00000049249,cg01154445,hsa-miR-146b-5p
ENSG00000057294,cg07796002,hsa-miR-892c-3p
ENSG00000058335,cg13992911,hsa-miR-31-5p
ENSG00000060718,cg12394201,hsa-miR-31-3p
ENSG00000062096,cg24881334,hsa-miR-493-5p
ENSG00000067715,cg00610577,hsa-miR-934
ENSG00000069812,cg13449535,hsa-miR-7156-5p
ENSG00000070748,cg12666727,hsa-miR-1258
ENSG00000072315,cg00521239,hsa-miR-204-3p
ENSG00000073737,cg21314318,hsa-miR-411-5p
ENSG00000075035,cg12649175,hsa-miR-1179
ENSG00000075461,cg26130864,hsa-miR-6860
ENSG00000078589,cg03663556,hsa-miR-7-5p
ENSG00000083067,cg24671734,hsa-miR-301b-3p
ENSG00000083782,cg16002660,hsa-miR-7-2-3p
ENSG00000086548,cg11485451,hsa-miR-873-5p
ENSG00000089012,cg19291696,hsa-miR-758-5p
ENSG00000089356,cg07126235,hsa-miR-4501
ENSG00000090932,cg07226481,hsa-miR-551b-3p
ENSG00000092758,cg27579501,hsa-miR-676-3p
ENSG00000095596,cg26158270,hsa-miR-345-3p
ENSG00000095981,cg18178715,hsa-miR-369-5p
ENSG00000100079,cg08141395,hsa-miR-1247-5p
ENSG00000100341,cg23246821,hsa-miR-147b-3p
ENSG00000100721,cg25588844,hsa-miR-888-5p
ENSG00000101197,cg06947286,hsa-miR-891b
ENSG00000101204,cg11767757,hsa-miR-577
ENSG00000101441,cg02697979,hsa-miR-891a-5p
ENSG00000101746,cg22716262,hsa-miR-892a
ENSG00000102243,cg19399285,hsa-miR-758-3p
ENSG00000102385,cg00733978,hsa-miR-873-3p
ENSG00000102854,cg17411016,hsa-miR-6715a-3p
ENSG00000102962,cg25883405,hsa-miR-6715b-3p
ENSG00000102970,cg23007325,
ENSG00000104237,cg13784312,
ENSG00000104435,cg26366616,
ENSG00000104783,cg15063366,
ENSG00000104918,cg18566555,
ENSG00000104921,cg21331386,
ENSG00000105369,cg03577157,
ENSG00000105492,cg14598478,
ENSG00000105509,cg02927679,
ENSG00000105641,cg16588163,
ENSG00000105664,cg06769820,
ENSG00000105989,cg04923845,
ENSG00000107447,cg10077746,
ENSG00000108688,cg18625916,
ENSG00000108849,cg13691961,
ENSG00000109182,cg25132536,
ENSG00000109205,cg21560142,
ENSG00000109255,cg06664433,
ENSG00000109705,cg10892950,
ENSG00000110243,cg12323347,
ENSG00000110244,cg25063165,
ENSG00000111218,cg17600393,
ENSG00000111249,cg18643093,
ENSG00000111732,cg04101194,
ENSG00000111783,cg19323289,
ENSG00000112164,cg04327247,
ENSG00000112333,cg26221105,
ENSG00000112936,cg00700039,
ENSG00000113302,cg08923594,
ENSG00000113396,cg11033617,
ENSG00000113946,cg01582066,
ENSG00000115009,cg21328779,
ENSG00000115602,cg26530485,
ENSG00000115665,cg21956614,
ENSG00000115705,cg10156217,
ENSG00000116031,cg25498969,
ENSG00000116748,cg21341586,
ENSG00000117069,cg06500792,
ENSG00000117090,cg00362381,
ENSG00000117215,cg03928887,
ENSG00000117322,cg22717825,
ENSG00000117594,cg00506299,
ENSG00000118137,cg27145347,
ENSG00000118733,cg16750801,
ENSG00000119913,cg21571060,
ENSG00000120337,cg18758433,
ENSG00000120659,cg13065206,
ENSG00000122025,cg08549335,
ENSG00000122145,cg24348240,
ENSG00000122420,cg02086195,
ENSG00000122756,cg19553402,
ENSG00000123500,cg02484352,
ENSG00000124205,cg01862311,
ENSG00000124467,cg26613811,
ENSG00000124493,cg10708955,
ENSG00000124882,cg24237862,
ENSG00000125144,cg22473727,
ENSG00000125675,cg09548403,
ENSG00000125726,cg17464436,
ENSG00000125813,cg12435551,
ENSG00000125872,cg14691971,
ENSG00000126500,cg06946797,
ENSG00000127074,cg15809077,
ENSG00000127083,cg11689753,
ENSG00000129451,cg20517697,
ENSG00000129654,cg13052638,
