GE,ME,MI
ENSG00000000003,cg13332474,hsa-miR-4739
ENSG00000000005,cg17689707,hsa-miR-4735-5p
ENSG00000000419,cg01156077,hsa-miR-4736
ENSG00000000460,cg18757087,hsa-miR-3064-3p
ENSG00000000938,cg22970357,hsa-miR-4738-3p
ENSG00000001167,cg23892690,hsa-miR-6793-3p
ENSG00000001461,cg21460020,hsa-miR-6793-5p
ENSG00000001561,cg13604020,hsa-miR-6794-5p
ENSG00000001617,cg26366091,hsa-miR-6825-3p
ENSG00000001626,cg17331296,hsa-miR-6825-5p
ENSG00000002079,cg01965939,hsa-miR-6826-3p
ENSG00000002587,cg20637688,hsa-miR-335-5p
ENSG00000002745,cg26521139,hsa-miR-339-5p
ENSG00000002746,cg23859051,hsa-miR-324-5p
ENSG00000002834,cg05478330,hsa-miR-331-3p
ENSG00000002933,cg06401021,hsa-miR-338-3p
ENSG00000003096,cg11398523,hsa-miR-324-3p
ENSG00000003137,cg16031515,hsa-miR-18a-3p
ENSG00000003147,cg06992223,hsa-miR-4511
ENSG00000003249,cg25762679,hsa-miR-4512
ENSG00000003400,cg13770691,hsa-miR-4510
ENSG00000003402,cg08436089,hsa-miR-4507
ENSG00000003436,cg10527300,hsa-miR-4504
ENSG00000003756,cg06060137,hsa-miR-483-5p
ENSG00000003987,cg26331625,hsa-miR-942-3p
ENSG00000003989,cg24749470,hsa-miR-1180-5p
ENSG00000004139,cg16617366,hsa-miR-488-3p
ENSG00000004455,cg01791407,hsa-miR-1287-3p
ENSG00000004468,cg00367615,hsa-miR-744-3p
ENSG00000004487,cg21161253,hsa-miR-491-3p
ENSG00000004660,cg11498228,hsa-miR-490-5p
ENSG00000004776,cg20106459,hsa-miR-193b-5p
ENSG00000004799,cg13773570,hsa-miR-6858-3p
ENSG00000004809,cg04411893,hsa-miR-6856-3p
ENSG00000004838,cg17648210,hsa-miR-550a-5p
ENSG00000004846,cg23907053,hsa-miR-590-3p
ENSG00000004848,cg16904330,hsa-miR-548a-5p
ENSG00000004864,cg24404823,hsa-miR-511-3p
ENSG00000004939,cg11610614,hsa-miR-494-5p
ENSG00000004948,cg24528602,hsa-miR-628-5p
ENSG00000004961,cg18910298,hsa-miR-181d-3p
ENSG00000005001,cg17620121,hsa-miR-3667-3p
ENSG00000005022,cg06799163,hsa-miR-570-5p
ENSG00000005073,cg18603581,hsa-let-7f-1-3p
ENSG00000005102,cg22009464,hsa-miR-1258
ENSG00000005108,cg11525280,hsa-let-7a-3p
ENSG00000005187,cg10605681,hsa-miR-15a-3p
ENSG00000005194,cg15579587,hsa-miR-16-1-3p
ENSG00000005243,cg05822335,hsa-miR-652-5p
ENSG00000005249,cg01701837,hsa-miR-584-3p
ENSG00000005302,cg05799811,hsa-miR-3190-3p
ENSG00000005381,cg14273450,hsa-miR-3164
ENSG00000005421,cg22795470,hsa-miR-586
ENSG00000005448,cg14928319,hsa-miR-3159
ENSG00000005469,cg20023120,hsa-miR-365b-5p
ENSG00000005471,cg11257429,hsa-miR-3156-5p
ENSG00000005513,cg11938455,hsa-miR-365b-3p
ENSG00000005700,cg11417025,hsa-miR-3161
ENSG00000005812,cg24242823,hsa-miR-593-5p
ENSG00000005882,cg09768093,hsa-miR-592
ENSG00000005884,cg27324128,hsa-miR-597-5p
ENSG00000005889,cg14328173,hsa-miR-599
ENSG00000005961,cg26836696,hsa-miR-598-3p
