GE,ME,MI
ENSG00000000003,cg00651829,hsa-miR-3130-5p
ENSG00000000005,cg19669385,hsa-miR-4739
ENSG00000000460,cg04244857,hsa-miR-4740-5p
ENSG00000000938,cg18002126,hsa-miR-4735-5p
ENSG00000000971,cg19503168,hsa-miR-4735-3p
ENSG00000001084,cg21661864,hsa-miR-4736
ENSG00000001167,cg25831071,hsa-miR-3064-5p
ENSG00000001461,cg02807859,hsa-miR-3064-3p
ENSG00000001497,cg26366091,hsa-miR-4738-5p
ENSG00000001561,cg11703729,hsa-miR-4738-3p
ENSG00000001617,cg02889418,hsa-miR-6791-3p
ENSG00000001626,cg07200122,hsa-miR-6791-5p
ENSG00000001629,cg01886303,hsa-miR-6793-3p
ENSG00000001630,cg08579995,hsa-miR-6793-5p
ENSG00000002016,cg21372174,hsa-miR-6792-3p
ENSG00000002079,cg07126559,hsa-miR-6794-3p
ENSG00000002549,cg03603542,hsa-miR-6732-5p
ENSG00000002587,cg10783086,hsa-miR-6825-5p
ENSG00000002745,cg06401021,hsa-miR-6826-3p
ENSG00000002834,cg19088553,hsa-miR-6826-5p
ENSG00000002919,cg24845246,hsa-miR-6827-3p
ENSG00000002933,cg01330815,hsa-miR-6827-5p
ENSG00000003056,cg22823821,hsa-miR-335-5p
ENSG00000003096,cg13074055,hsa-miR-324-5p
ENSG00000003137,cg08422054,hsa-miR-331-3p
ENSG00000003147,cg14168009,hsa-miR-338-3p
ENSG00000003249,cg02371121,hsa-miR-18a-3p
ENSG00000003400,cg24050112,hsa-miR-299-5p
ENSG00000003436,cg01370213,hsa-miR-4511
ENSG00000003987,cg04679849,hsa-miR-4512
ENSG00000003989,cg24776326,hsa-miR-4510
ENSG00000004139,cg08801710,hsa-miR-4508
ENSG00000004142,cg00367615,hsa-miR-4506
ENSG00000004399,cg21754201,hsa-miR-4505
ENSG00000004455,cg19642306,hsa-miR-548e-5p
ENSG00000004468,cg26545580,hsa-miR-548j-3p
ENSG00000004478,cg06698414,hsa-miR-942-3p
ENSG00000004487,cg23384406,hsa-miR-1180-5p
ENSG00000004660,cg16859165,hsa-miR-885-5p
ENSG00000004700,cg26520468,hsa-miR-1287-3p
ENSG00000004776,cg12754571,hsa-miR-486-3p
ENSG00000004777,cg18515527,hsa-miR-491-3p
ENSG00000004799,cg18910298,hsa-miR-6125
ENSG00000004809,cg05876625,hsa-miR-1266-3p
ENSG00000004838,cg08450091,hsa-miR-193b-5p
ENSG00000004846,cg18603581,hsa-miR-6859-3p
ENSG00000004848,cg23811117,hsa-miR-3675-5p
ENSG00000004864,cg05233816,hsa-miR-3675-3p
ENSG00000004866,cg25132931,hsa-miR-6856-5p
ENSG00000004939,cg23580725,hsa-miR-6856-3p
ENSG00000004948,cg25034991,hsa-miR-550a-5p
ENSG00000004975,cg21910329,hsa-miR-590-3p
ENSG00000005001,cg05348973,hsa-miR-548a-5p
ENSG00000005007,cg02577745,hsa-miR-615-5p
ENSG00000005073,cg13637893,hsa-miR-616-3p
ENSG00000005102,cg22682546,hsa-miR-489-5p
ENSG00000005108,cg05338724,hsa-miR-625-3p
ENSG00000005156,cg25807274,hsa-miR-628-5p
ENSG00000005187,cg00098732,hsa-miR-181d-3p
ENSG00000005243,cg18411040,hsa-miR-520f-5p
ENSG00000005249,cg14674582,hsa-miR-1257
ENSG00000005381,cg16799785,hsa-let-7d-3p
ENSG00000005421,cg05221720,hsa-miR-561-5p
ENSG00000005448,cg22688535,hsa-miR-539-3p
ENSG00000005471,cg11066776,hsa-miR-1258
ENSG00000005513,cg19332610,hsa-let-7a-3p
ENSG00000005700,cg13093380,hsa-miR-506-5p
ENSG00000005801,cg07230062,hsa-miR-15a-3p
ENSG00000005810,cg17967260,hsa-miR-16-1-3p
ENSG00000005882,cg13125157,hsa-miR-652-5p
ENSG00000005884,cg10251094,hsa-miR-584-3p
ENSG00000005889,cg02938422,hsa-miR-7157-3p
ENSG00000005893,cg07622451,hsa-miR-3190-3p
ENSG00000005961,cg01554357,hsa-miR-1185-1-3p
ENSG00000005981,cg12200950,hsa-miR-3164
ENSG00000006016,cg26366822,hsa-miR-586
ENSG00000006025,cg12399350,hsa-miR-3159
ENSG00000006042,cg20250981,hsa-miR-3157-5p
ENSG00000006047,cg20893898,hsa-miR-3156-5p
ENSG00000006059,cg13896204,hsa-miR-3163
ENSG00000006062,cg02152985,hsa-miR-3162-5p
ENSG00000006071,cg22040874,hsa-miR-3161
ENSG00000006116,cg03983713,hsa-miR-592
ENSG00000006118,cg11797364,hsa-miR-597-5p
ENSG00000006128,cg03082589,hsa-miR-599
ENSG00000006210,cg13529733,hsa-miR-598-3p
ENSG00000006282,cg08915171,hsa-miR-192-3p
ENSG00000006283,cg27485152,hsa-miR-618
ENSG00000006327,cg23911372,hsa-miR-617
ENSG00000006377,cg09780768,hsa-miR-616-5p
ENSG00000006432,cg16003672,hsa-miR-615-3p
ENSG00000006451,cg19777067,hsa-miR-612
ENSG00000006453,cg09925075,hsa-miR-4638-3p
ENSG00000006468,cg03322633,hsa-miR-4637
ENSG00000006534,cg11092157,hsa-miR-4636
ENSG00000006555,cg03957898,hsa-miR-4635
ENSG00000006576,cg13694749,hsa-miR-4634
ENSG00000006606,cg10243075,hsa-miR-4644
ENSG00000006607,cg14083421,hsa-miR-4640-5p
ENSG00000006611,cg20932535,hsa-miR-7108-3p
ENSG00000006625,cg08571738,hsa-miR-7109-3p
ENSG00000006634,cg21217024,hsa-miR-7106-3p
ENSG00000006638,cg15619546,hsa-miR-7108-5p
ENSG00000006659,cg27103642,hsa-miR-7110-3p
ENSG00000006695,cg04922015,hsa-miR-7111-5p
ENSG00000006704,cg07956247,hsa-miR-937-3p
ENSG00000006744,cg21414251,hsa-miR-940
ENSG00000006747,cg01767862,hsa-miR-939-5p
ENSG00000006756,cg02166450,hsa-miR-942-5p
ENSG00000006757,cg21207665,hsa-miR-517c-3p
ENSG00000006788,cg17996830,hsa-miR-376a-2-5p
ENSG00000006831,cg12925881,hsa-miR-548v
ENSG00000007001,cg13492164,hsa-miR-3148
ENSG00000007038,cg04887836,hsa-miR-6829-3p
ENSG00000007047,cg03869498,hsa-miR-4745-3p
ENSG00000007062,cg05957703,hsa-miR-4745-5p
ENSG00000007129,cg19569074,hsa-miR-4742-3p
ENSG00000007168,cg07912144,hsa-miR-4742-5p
ENSG00000007171,cg10381813,hsa-miR-4741
ENSG00000007174,cg03768717,hsa-miR-4740-3p
ENSG00000007202,cg05761734,hsa-miR-122b-3p
ENSG00000007216,cg01047028,hsa-miR-122b-5p
ENSG00000007237,cg03874601,hsa-miR-4744
ENSG00000007255,cg26913186,hsa-miR-4743-5p
ENSG00000007264,cg20798164,hsa-miR-6132
