GE,ME,MI
ENSG00000000003,cg13332474,hsa-miR-4739
ENSG00000000005,cg17689707,hsa-miR-4738-3p
ENSG00000000460,cg01156077,hsa-miR-6793-3p
ENSG00000001561,cg22970357,hsa-miR-6793-5p
ENSG00000001617,cg23892690,hsa-miR-6825-3p
ENSG00000001626,cg21460020,hsa-miR-6826-3p
ENSG00000002079,cg13604020,hsa-miR-335-5p
ENSG00000002587,cg26366091,hsa-miR-339-5p
ENSG00000002745,cg17331296,hsa-miR-324-5p
ENSG00000002746,cg01965939,hsa-miR-331-3p
ENSG00000002834,cg20637688,hsa-miR-324-3p
ENSG00000003096,cg26521139,hsa-miR-18a-3p
ENSG00000003137,cg23859051,hsa-miR-4512
ENSG00000003147,cg05478330,hsa-miR-4510
ENSG00000003400,cg06401021,hsa-miR-4507
ENSG00000003987,cg11398523,hsa-miR-483-5p
ENSG00000003989,cg16031515,hsa-miR-942-3p
ENSG00000004139,cg25762679,hsa-miR-1180-5p
ENSG00000004468,cg08436089,hsa-miR-488-3p
ENSG00000004776,cg10527300,hsa-miR-1287-3p
ENSG00000004799,cg06060137,hsa-miR-744-3p
ENSG00000004809,cg26331625,hsa-miR-491-3p
ENSG00000004838,cg24749470,hsa-miR-490-5p
ENSG00000004846,cg16617366,hsa-miR-193b-5p
ENSG00000004848,cg01791407,hsa-miR-6858-3p
ENSG00000004864,cg11498228,hsa-miR-6856-3p
ENSG00000004948,cg13773570,hsa-miR-550a-5p
ENSG00000005073,cg04411893,hsa-miR-590-3p
ENSG00000005102,cg17648210,hsa-miR-548a-5p
ENSG00000005108,cg23907053,hsa-miR-511-3p
ENSG00000005187,cg16904330,hsa-miR-494-5p
ENSG00000005243,cg24404823,hsa-miR-628-5p
ENSG00000005249,cg11610614,hsa-miR-181d-3p
ENSG00000005302,cg24528602,hsa-miR-3667-3p
ENSG00000005381,cg18910298,hsa-let-7f-1-3p
ENSG00000005421,cg17620121,hsa-miR-1258
ENSG00000005448,cg06799163,hsa-miR-15a-3p
ENSG00000005469,cg18603581,hsa-miR-16-1-3p
ENSG00000005471,cg22009464,hsa-miR-584-3p
ENSG00000005513,cg11525280,hsa-miR-3190-3p
ENSG00000005882,cg10605681,hsa-miR-3164
ENSG00000005884,cg15579587,hsa-miR-3159
ENSG00000005961,cg05822335,hsa-miR-365b-5p
ENSG00000005981,cg05799811,hsa-miR-3156-5p
ENSG00000006016,cg14273450,hsa-miR-3161
ENSG00000006025,cg14928319,hsa-miR-592
ENSG00000006042,cg20023120,hsa-miR-597-5p
ENSG00000006047,cg11257429,hsa-miR-598-3p
ENSG00000006059,cg11938455,hsa-miR-573
ENSG00000006071,cg11417025,hsa-miR-618
ENSG00000006116,cg24242823,hsa-miR-616-5p
ENSG00000006118,cg09768093,hsa-miR-615-3p
ENSG00000006125,cg27324128,hsa-miR-4638-3p
ENSG00000006128,cg02759489,hsa-miR-4640-5p
ENSG00000006210,cg25932315,hsa-miR-449c-3p
ENSG00000006282,cg04350307,hsa-miR-7108-3p
ENSG00000006283,cg23363754,hsa-miR-7109-5p
ENSG00000006327,cg02957057,hsa-miR-7110-3p
ENSG00000006377,cg04403423,hsa-miR-7111-5p
ENSG00000006453,cg07550921,hsa-miR-518e-3p
ENSG00000006555,cg11797365,hsa-miR-940
ENSG00000006606,cg00046625,hsa-miR-939-5p
ENSG00000006607,cg23093090,hsa-miR-517c-3p
ENSG00000006611,cg13529733,hsa-miR-520h
ENSG00000006625,cg24028634,hsa-miR-548v
ENSG00000006634,cg21857668,hsa-miR-6829-3p
ENSG00000006652,cg13689681,hsa-miR-4745-3p
ENSG00000006659,cg10720080,hsa-miR-4745-5p
ENSG00000006747,cg03958512,hsa-miR-4742-3p
ENSG00000006756,cg19306063,hsa-miR-4741
ENSG00000006757,cg08575330,hsa-miR-302d-3p
ENSG00000006837,cg04797725,hsa-miR-636
ENSG00000007001,cg13656173,hsa-miR-6840-5p
ENSG00000007038,cg21217024,hsa-miR-6840-3p
ENSG00000007062,cg26003967,hsa-miR-6842-3p
ENSG00000007171,cg23782734,hsa-miR-1269b
ENSG00000007174,cg12319602,hsa-miR-4521
ENSG00000007216,cg21998208,hsa-miR-4515
ENSG00000007237,cg02389084,hsa-miR-4517
ENSG00000007264,cg01246835,hsa-miR-887-5p
ENSG00000007306,cg16979070,hsa-miR-1224-5p
ENSG00000007312,cg19013178,hsa-miR-519a-5p
ENSG00000007314,cg00643111,hsa-miR-518a-5p
ENSG00000007350,cg14026788,hsa-miR-146a-5p
ENSG00000007372,cg26842720,hsa-miR-191-5p
ENSG00000007402,cg15128226,hsa-miR-9-5p
ENSG00000007516,cg13002945,hsa-miR-9-3p
ENSG00000007541,cg08240383,hsa-miR-7702
ENSG00000007908,cg02241924,hsa-miR-7704
ENSG00000007944,cg20253561,hsa-miR-597-3p
ENSG00000007952,cg04547002,hsa-miR-552-5p
ENSG00000007968,cg00320216,hsa-miR-580-5p
ENSG00000008056,cg09067029,hsa-miR-579-5p
ENSG00000008118,cg22660578,hsa-miR-504-3p
ENSG00000008196,cg20005074,hsa-miR-548d-5p
ENSG00000008197,cg06298701,hsa-miR-33b-3p
ENSG00000008226,cg05243438,hsa-miR-671-3p
ENSG00000008277,cg19359398,hsa-miR-24-2-5p
ENSG00000008300,cg04362112,hsa-miR-23a-5p
ENSG00000008311,cg11190071,hsa-miR-128-1-5p
ENSG00000008323,cg26155867,hsa-miR-21-3p
ENSG00000008438,cg00638845,hsa-miR-95-5p
ENSG00000008441,cg09820180,hsa-let-7c-3p
ENSG00000008516,cg22976884,hsa-miR-26a-1-3p
ENSG00000008517,cg03836586,hsa-miR-25-5p
ENSG00000008735,cg25870420,hsa-miR-3074-5p
ENSG00000008853,cg04280772,hsa-miR-3156-3p
ENSG00000009709,cg00393837,hsa-miR-200c-5p
ENSG00000009724,cg11107669,hsa-miR-3127-3p
ENSG00000009765,cg03698393,hsa-miR-155-3p
ENSG00000009790,cg01524174,hsa-miR-3150a-5p
ENSG00000009950,cg09315586,hsa-miR-3138
ENSG00000010030,cg18196709,hsa-miR-3139
ENSG00000010282,cg01263386,hsa-miR-3137
ENSG00000010292,cg24296452,hsa-miR-466
ENSG00000010295,cg16404371,hsa-miR-3136-5p
ENSG00000010310,cg01587630,hsa-miR-3140-3p
ENSG00000010318,cg23245007,hsa-miR-548t-5p
ENSG00000010319,cg27281882,hsa-miR-5582-3p
ENSG00000010322,cg06014958,hsa-miR-5586-5p
ENSG00000010361,cg19730314,hsa-miR-6812-3p
ENSG00000010438,cg21872764,hsa-miR-1229-3p
ENSG00000010810,cg11328405,hsa-miR-4664-3p
ENSG00000010932,cg16761581,hsa-miR-4665-5p
ENSG00000011083,cg06108459,hsa-miR-4664-5p
ENSG00000011105,cg16364121,hsa-miR-4662a-5p
ENSG00000011132,cg02571436,hsa-miR-6810-3p
ENSG00000011332,cg21462633,hsa-miR-3622a-3p
ENSG00000011347,cg06246950,hsa-miR-3620-3p
ENSG00000011422,cg08724310,hsa-miR-3622a-5p
ENSG00000011426,cg09086201,hsa-miR-449a
ENSG00000011465,cg10715223,hsa-miR-4726-3p
ENSG00000011590,cg02449821,hsa-miR-4725-3p
ENSG00000011677,cg02344833,hsa-miR-4726-5p
ENSG00000012048,cg22185558,hsa-miR-4725-5p
ENSG00000012124,cg06022561,hsa-miR-4724-5p
ENSG00000012171,cg15928068,hsa-miR-4728-5p
ENSG00000012223,cg06312813,hsa-miR-362-5p
ENSG00000012504,cg01132484,hsa-miR-6847-3p
ENSG00000012660,cg22152728,hsa-miR-6845-5p
ENSG00000012779,cg25632577,hsa-miR-6846-3p
ENSG00000012817,cg18862767,hsa-miR-6846-5p
ENSG00000012822,cg21653132,hsa-miR-6849-3p
ENSG00000013288,cg23431175,hsa-miR-193a-3p
ENSG00000013293,cg08862890,hsa-miR-190a-5p
ENSG00000013297,cg22108567,hsa-miR-188-5p
ENSG00000013364,cg19413725,hsa-miR-186-5p
ENSG00000013573,cg07070305,hsa-miR-185-5p
ENSG00000013583,cg21646598,hsa-miR-184
ENSG00000013588,cg13872831,hsa-miR-154-3p
ENSG00000013619,cg26206598,hsa-miR-150-5p
ENSG00000013725,cg10213873,hsa-miR-149-5p
ENSG00000013810,cg07459019,hsa-miR-3619-3p
ENSG00000014914,cg04920032,hsa-miR-3194-3p
ENSG00000015413,cg10158541,hsa-miR-3158-5p
ENSG00000015475,cg17586094,hsa-miR-3157-3p
ENSG00000015520,cg12527384,hsa-miR-3177-5p
ENSG00000015592,cg06580725,hsa-miR-3173-5p
ENSG00000016082,cg02056653,hsa-miR-3143
ENSG00000016391,cg07046426,hsa-miR-3145-3p
ENSG00000016402,cg08074851,hsa-miR-3146
ENSG00000016602,cg10347635,hsa-miR-615-5p
ENSG00000017427,cg11163555,hsa-miR-616-3p
ENSG00000017483,cg26165081,hsa-miR-1295b-3p
ENSG00000018236,cg15733882,hsa-miR-5588-3p
ENSG00000018280,cg25343204,hsa-miR-1295b-5p
ENSG00000018408,cg11274314,hsa-miR-548au-3p
ENSG00000018625,cg21868134,hsa-miR-1307-5p
ENSG00000018869,cg14531560,hsa-miR-1306-5p
ENSG00000019102,cg23985209,hsa-miR-1247-3p
ENSG00000019169,cg24111955,hsa-miR-1304-3p
ENSG00000019186,cg06785999,hsa-let-7d-3p
ENSG00000019505,cg15082394,hsa-miR-561-5p
ENSG00000019991,cg12279877,hsa-miR-455-5p
ENSG00000020633,cg01065161,hsa-miR-5706
ENSG00000021300,cg07029024,hsa-miR-5708
ENSG00000021461,cg11118198,hsa-miR-1290
ENSG00000021488,cg12911763,hsa-miR-2355-5p
ENSG00000021645,cg13345942,hsa-miR-378d
ENSG00000021762,cg21384402,hsa-miR-1268b
ENSG00000021826,cg08477158,hsa-miR-6720-5p
ENSG00000021852,cg05086074,hsa-miR-4661-5p
ENSG00000022267,cg22459664,hsa-miR-4660
ENSG00000022355,cg11398452,hsa-miR-4659a-3p
ENSG00000022556,cg03490200,hsa-miR-4659a-5p
ENSG00000022567,cg16989132,hsa-miR-4658
ENSG00000023171,cg19866195,hsa-miR-3658
ENSG00000023445,cg16481280,hsa-miR-3651
ENSG00000023572,cg25338262,hsa-miR-3654
ENSG00000023839,cg09870568,hsa-miR-3657
ENSG00000023902,cg21426239,hsa-miR-5091
ENSG00000024422,cg05740418,hsa-miR-5090
ENSG00000024526,cg20710842,hsa-miR-5092
ENSG00000025039,cg26360026,hsa-miR-5094
ENSG00000025708,cg08697797,hsa-miR-376b-3p
