GE,ME,MI
ENSG00000002745,cg13332474,hsa-miR-4736
ENSG00000002746,cg10382206,hsa-miR-335-5p
ENSG00000004846,cg06401021,hsa-miR-18a-3p
ENSG00000004939,cg10569615,hsa-miR-299-5p
ENSG00000005001,cg06060137,hsa-miR-1287-3p
ENSG00000005073,cg17648210,hsa-miR-584-3p
ENSG00000005421,cg05876625,hsa-miR-599
ENSG00000005981,cg11525280,hsa-miR-598-3p
ENSG00000006128,cg14273450,hsa-miR-543
ENSG00000006377,cg15386964,hsa-miR-518d-3p
ENSG00000006606,cg26836696,hsa-miR-4745-5p
ENSG00000006747,cg09676788,hsa-miR-1269b
ENSG00000006788,cg21884231,hsa-miR-4514
ENSG00000007038,cg02957057,hsa-miR-519a-5p
ENSG00000007174,cg21017752,hsa-miR-136-5p
ENSG00000007306,cg24028634,hsa-miR-127-3p
ENSG00000007350,cg14002960,hsa-miR-134-5p
ENSG00000008196,cg19569074,hsa-miR-9-5p
ENSG00000008300,cg06113354,hsa-miR-9-3p
ENSG00000010282,cg14197503,hsa-miR-504-3p
ENSG00000010704,cg08229358,hsa-miR-411-3p
ENSG00000011677,cg16304521,hsa-miR-654-3p
ENSG00000013293,cg00220737,hsa-miR-671-3p
ENSG00000013297,cg21653132,hsa-miR-19b-1-5p
ENSG00000016082,cg00834796,hsa-miR-466
ENSG00000016402,cg07344528,hsa-miR-3620-3p
ENSG00000016602,cg23302570,hsa-miR-4725-3p
ENSG00000018625,cg08419589,hsa-miR-4724-5p
ENSG00000023839,cg11329853,hsa-miR-363-3p
ENSG00000026559,cg26241806,hsa-miR-184
ENSG00000029153,cg25912580,hsa-miR-154-3p
ENSG00000029559,cg20710842,hsa-miR-154-5p
ENSG00000030304,cg01614237,hsa-miR-3147
ENSG00000034239,cg05570735,hsa-miR-5589-3p
ENSG00000034971,cg26195583,hsa-miR-5589-5p
ENSG00000036565,cg23142394,hsa-miR-1247-3p
ENSG00000036828,cg21695485,hsa-miR-539-3p
ENSG00000039139,cg14034757,hsa-miR-5706
ENSG00000043039,cg23464619,hsa-miR-376b-3p
ENSG00000043355,cg05194618,hsa-miR-410-3p
ENSG00000043591,cg04770088,hsa-miR-485-3p
ENSG00000046774,cg09705457,hsa-miR-487a-3p
ENSG00000047457,cg03861966,hsa-miR-381-3p
ENSG00000047617,cg17816771,hsa-miR-382-5p
ENSG00000047936,cg24671202,hsa-miR-380-5p
ENSG00000049283,cg24934063,hsa-miR-377-3p
ENSG00000050165,cg01698108,hsa-miR-224-5p
ENSG00000050327,cg09495643,hsa-miR-498-5p
ENSG00000050767,cg01945223,hsa-miR-520e-3p
ENSG00000054356,cg24385694,hsa-miR-515-3p
ENSG00000054803,cg04734286,hsa-miR-497-5p
ENSG00000054938,cg07548607,hsa-miR-181d-5p
ENSG00000055957,cg15673034,hsa-miR-512-5p
ENSG00000056487,cg14320054,hsa-miR-512-3p
ENSG00000057149,cg18091435,hsa-miR-6887-3p
ENSG00000057294,cg08313168,hsa-miR-195-5p
ENSG00000057593,cg19407252,hsa-miR-765
ENSG00000058335,cg24617723,hsa-miR-376a-5p
ENSG00000058404,cg06637001,hsa-miR-363-5p
ENSG00000060709,cg16750157,hsa-miR-539-5p
ENSG00000062038,cg08588180,hsa-miR-493-3p
ENSG00000062096,cg14843731,hsa-miR-7112-3p
ENSG00000062524,cg26675326,hsa-miR-4652-5p
ENSG00000064787,cg04077662,hsa-miR-369-3p
ENSG00000064886,cg24789128,hsa-miR-376c-3p
ENSG00000065609,cg08131881,hsa-miR-370-3p
ENSG00000065923,cg05090759,hsa-miR-372-3p
ENSG00000066230,cg00919118,hsa-miR-373-3p
ENSG00000066248,cg13207630,hsa-miR-376a-3p
ENSG00000066468,cg11509669,hsa-miR-525-3p
ENSG00000067048,cg05594873,hsa-miR-525-5p
ENSG00000067177,cg20754145,hsa-miR-526b-5p
ENSG00000067646,cg08303550,hsa-miR-520a-3p
ENSG00000067842,cg27042266,hsa-miR-520a-5p
ENSG00000068985,cg23557926,hsa-miR-519c-3p
ENSG00000069011,cg23203338,hsa-miR-520f-3p
ENSG00000069188,cg05528782,hsa-miR-6892-5p
ENSG00000069482,cg20214871,hsa-miR-668-3p
ENSG00000069535,cg13841979,hsa-miR-767-3p
ENSG00000070019,cg23433527,hsa-miR-767-5p
ENSG00000070031,cg22508969,hsa-miR-136-3p
ENSG00000070193,cg03646234,hsa-miR-409-5p
ENSG00000070808,cg03735370,hsa-miR-409-3p
ENSG00000070886,cg27393126,hsa-miR-100-3p
ENSG00000072133,cg13775316,hsa-miR-101-5p
ENSG00000072195,cg08383338,hsa-miR-1257
ENSG00000072657,cg04184232,hsa-miR-4428
ENSG00000074211,cg06485940,hsa-miR-4431
ENSG00000074410,cg25681688,hsa-miR-4647
ENSG00000074803,cg22473620,hsa-miR-1266-5p
ENSG00000075035,cg19849728,hsa-miR-1269a
ENSG00000075043,cg03277455,hsa-miR-204-5p
ENSG00000075213,cg08818984,hsa-miR-211-5p
ENSG00000075461,cg26988215,hsa-miR-488-5p
ENSG00000076716,cg27229407,hsa-miR-195-3p
ENSG00000077063,cg12721730,hsa-miR-92a-1-5p
ENSG00000077080,cg06738867,hsa-miR-3117-3p
ENSG00000077264,cg19263700,hsa-miR-487b-3p
ENSG00000077279,cg23050361,hsa-miR-335-3p
ENSG00000078295,cg09784335,hsa-miR-1910-5p
ENSG00000078549,cg22680399,hsa-miR-7151-3p
ENSG00000079112,cg06225133,hsa-miR-548ao-3p
ENSG00000080007,cg07609200,hsa-miR-217-5p
ENSG00000080511,cg10201663,hsa-miR-216a-5p
ENSG00000080618,cg13343639,hsa-miR-214-3p
ENSG00000081138,cg25649038,hsa-miR-432-5p
ENSG00000081479,cg11401514,hsa-miR-495-3p
ENSG00000082126,cg19734013,hsa-miR-494-3p
ENSG00000082175,cg16543094,hsa-miR-202-3p
ENSG00000082196,cg02273436,hsa-miR-493-5p
ENSG00000083067,cg02671458,hsa-miR-496
ENSG00000084110,cg10764357,hsa-miR-1-3p
ENSG00000084674,cg26769720,hsa-miR-19a-3p
ENSG00000084734,cg16728651,hsa-miR-18a-5p
ENSG00000085741,cg03135351,hsa-miR-20a-5p
ENSG00000085831,cg00304388,hsa-miR-20b-3p
ENSG00000086205,cg02288088,hsa-miR-431-3p
ENSG00000086967,cg17986181,hsa-miR-4445-5p
ENSG00000086991,cg26246897,hsa-miR-1908-3p
ENSG00000087237,cg26118553,hsa-miR-1910-3p
ENSG00000087250,cg21128610,hsa-miR-6507-5p
ENSG00000087494,cg00400221,hsa-miR-7156-5p
ENSG00000087495,cg03069204,hsa-miR-5001-5p
ENSG00000087510,cg24671734,hsa-miR-518e-3p
ENSG00000088053,cg03899054,hsa-miR-518a-3p
ENSG00000088320,cg13713830,hsa-miR-520h
ENSG00000088386,cg00485849,hsa-miR-522-3p
ENSG00000088992,cg16331823,hsa-miR-133a-3p
ENSG00000089169,cg17485021,hsa-miR-124-3p
ENSG00000089199,cg05754853,hsa-miR-214-5p
ENSG00000089225,cg04843935,hsa-miR-204-3p
ENSG00000089356,cg15471953,hsa-miR-211-3p
ENSG00000091129,cg06349628,hsa-miR-3189-3p
ENSG00000091137,cg19291696,hsa-miR-411-5p
ENSG00000091428,cg05176349,hsa-miR-216a-3p
ENSG00000091482,cg04184019,hsa-miR-3200-3p
ENSG00000091513,cg03722396,hsa-miR-3660
ENSG00000091664,cg07282058,hsa-miR-504-5p
ENSG00000091972,cg14102811,hsa-miR-760
ENSG00000092054,cg07868857,hsa-miR-376b-5p
ENSG00000092758,cg23181844,hsa-miR-758-5p
ENSG00000093134,cg17191462,hsa-miR-655-3p
ENSG00000095596,cg18880897,hsa-miR-654-5p
ENSG00000095627,cg11831004,hsa-miR-20a-3p
ENSG00000095752,cg26845297,hsa-miR-219b-3p
ENSG00000095917,cg23244289,hsa-miR-2682-5p
ENSG00000096088,cg25925177,hsa-miR-518c-3p
ENSG00000099256,cg18063733,hsa-miR-524-5p
ENSG00000099399,cg14353278,hsa-miR-520c-3p
ENSG00000099617,cg24188415,hsa-miR-518c-5p
ENSG00000099937,cg11230716,hsa-miR-518b
ENSG00000099954,cg06442073,hsa-miR-518f-3p
ENSG00000099960,cg07370087,hsa-miR-520b-3p
ENSG00000100033,cg11405534,hsa-miR-523-3p
ENSG00000100191,cg01498907,hsa-miR-518f-5p
ENSG00000100206,cg05068428,hsa-miR-4496
ENSG00000100249,cg27409015,hsa-miR-488-3p
ENSG00000100290,cg07075238,hsa-miR-129-1-3p
ENSG00000100346,cg15049101,hsa-miR-381-5p
ENSG00000100362,cg05242526,hsa-miR-376c-5p
ENSG00000100427,cg18223947,hsa-miR-516b-5p
ENSG00000100433,cg05831188,hsa-miR-520g-3p
ENSG00000100448,cg23502298,hsa-miR-517-5p
ENSG00000100678,cg17933583,hsa-miR-519d-3p
ENSG00000100739,cg05125578,hsa-miR-517a-3p
ENSG00000100842,cg04590313,hsa-miR-517b-3p
ENSG00000100985,cg24227481,hsa-miR-520d-3p
ENSG00000100987,cg02991085,hsa-miR-1323
ENSG00000101074,cg04024413,hsa-miR-1296-5p
ENSG00000101076,cg02952295,hsa-miR-6850-5p
ENSG00000101144,cg27478961,hsa-miR-410-5p
ENSG00000101180,cg09708616,hsa-miR-487a-5p
ENSG00000101188,cg12448161,hsa-miR-758-3p
ENSG00000101200,cg12232308,hsa-miR-134-3p
ENSG00000101203,cg09451960,hsa-miR-370-5p
ENSG00000101210,cg02569458,hsa-miR-382-3p
ENSG00000101323,cg02285579,hsa-miR-3194-5p
ENSG00000101327,cg05660436,hsa-miR-8079
ENSG00000101333,cg11632906,hsa-miR-6715a-3p
ENSG00000101425,cg24855781,hsa-miR-369-5p
ENSG00000101441,cg06760904,hsa-miR-433-3p
ENSG00000101443,cg20266910,hsa-miR-431-5p
ENSG00000101470,cg06818532,hsa-miR-329-3p
ENSG00000101638,cg04350120,hsa-miR-206
ENSG00000101746,cg26040583,hsa-miR-1247-5p
ENSG00000101850,cg05593349,hsa-miR-6834-5p
ENSG00000101892,cg25366582,hsa-miR-337-3p
ENSG00000101938,cg18480129,hsa-miR-323a-3p
ENSG00000101951,cg06312254,hsa-miR-135b-5p
ENSG00000102001,cg16905265,hsa-miR-875-5p
ENSG00000102010,cg05494014,hsa-miR-889-3p
ENSG00000102021,cg12351433,hsa-miR-541-3p
ENSG00000102195,cg19692165,hsa-miR-3170
ENSG00000102243,cg15114672,hsa-miR-548b-3p
ENSG00000102359,cg16321474,hsa-miR-548y
ENSG00000102387,cg01566526,hsa-miR-3937
ENSG00000102678,cg09570974,hsa-miR-4780
ENSG00000102854,cg24385580,hsa-miR-875-3p
ENSG00000103154,cg26887379,hsa-miR-6733-5p
ENSG00000103241,cg02539153,hsa-miR-1295a
ENSG00000103355,cg26961166,hsa-let-7a-2-3p
ENSG00000103449,cg17679621,hsa-miR-6068
ENSG00000103740,cg01995743,hsa-miR-4524a-3p
ENSG00000104044,cg22919370,hsa-miR-541-5p
ENSG00000104237,cg10804678,hsa-miR-105-5p
ENSG00000104313,cg24947255,hsa-miR-125b-1-3p
ENSG00000104321,cg13081331,hsa-miR-130a-5p
ENSG00000104332,cg12516359,hsa-miR-377-5p
ENSG00000104611,cg07701237,hsa-miR-6720-3p
ENSG00000104723,cg23480341,hsa-miR-323b-3p
ENSG00000104760,cg09877947,hsa-miR-146a-3p
ENSG00000104783,cg11392885,hsa-miR-4533
ENSG00000104848,cg21491163,hsa-miR-3928-5p
ENSG00000104921,cg00011994,hsa-miR-379-3p
ENSG00000104938,cg14707269,hsa-miR-323a-5p
ENSG00000104998,cg17216478,hsa-miR-34c-3p
ENSG00000105141,cg26811898,hsa-miR-34b-3p
ENSG00000105143,cg18045100,hsa-miR-3154
ENSG00000105357,cg21672572,hsa-miR-6715b-3p
ENSG00000105409,cg00543073,hsa-miR-3151-5p
ENSG00000105509,cg12486537,
ENSG00000105549,cg03417233,
ENSG00000105641,cg25776856,
ENSG00000105664,cg02956255,
ENSG00000105695,cg03001832,
ENSG00000105825,cg06198892,
ENSG00000105852,cg16000227,
ENSG00000105880,cg27281791,
ENSG00000105894,cg18275228,
ENSG00000105996,cg26573704,
ENSG00000105997,cg26391564,
ENSG00000106004,cg03304380,
ENSG00000106006,cg00527440,
ENSG00000106013,cg21395152,
ENSG00000106031,cg11480962,
ENSG00000106078,cg27513574,
ENSG00000106178,cg25585712,
ENSG00000106236,cg08015801,
ENSG00000106278,cg16268160,
