GE,ME,MI
ENSG00000001626,cg13604020,hsa-miR-299-5p
ENSG00000004838,cg17331296,hsa-miR-561-5p
ENSG00000005108,cg09988853,hsa-miR-539-3p
ENSG00000006047,cg10605681,hsa-miR-584-3p
ENSG00000006059,cg11417025,hsa-miR-592
ENSG00000006377,cg10024501,hsa-miR-1269b
ENSG00000006606,cg06598091,hsa-miR-1224-5p
ENSG00000006611,cg19306063,hsa-miR-519a-5p
ENSG00000006788,cg05925497,hsa-miR-9-5p
ENSG00000007038,cg08684733,hsa-miR-9-3p
ENSG00000007062,cg03287340,hsa-miR-7702
ENSG00000007171,cg21760363,hsa-miR-411-3p
ENSG00000007216,cg18434367,hsa-miR-654-3p
ENSG00000007306,cg24400921,hsa-let-7c-3p
ENSG00000007314,cg21053831,hsa-miR-133a-5p
ENSG00000007933,cg19068385,hsa-miR-25-5p
ENSG00000008196,cg16364121,hsa-miR-200c-5p
ENSG00000008226,cg02771619,hsa-miR-449a
ENSG00000008277,cg22043168,hsa-miR-363-3p
ENSG00000008323,cg23146197,hsa-miR-184
ENSG00000008394,cg06797925,hsa-miR-154-3p
ENSG00000009709,cg26084529,hsa-miR-154-5p
ENSG00000009765,cg05051043,hsa-miR-150-5p
ENSG00000009950,cg19413725,hsa-miR-149-5p
ENSG00000010282,cg19313043,hsa-miR-1295b-3p
ENSG00000012223,cg22335826,hsa-miR-1295b-5p
ENSG00000015413,cg02056653,hsa-miR-514a-5p
ENSG00000016391,cg08949428,hsa-miR-4657
ENSG00000016602,cg21868134,hsa-miR-410-3p
ENSG00000018625,cg07029024,hsa-miR-485-3p
ENSG00000019102,cg21384402,hsa-miR-3681-5p
ENSG00000021645,cg08477158,hsa-miR-365b-5p
ENSG00000029559,cg13708727,hsa-miR-381-3p
ENSG00000030304,cg27429749,hsa-miR-382-5p
ENSG00000034971,cg10236452,hsa-miR-380-5p
ENSG00000035720,cg09876651,hsa-miR-377-3p
ENSG00000038295,cg21065196,hsa-miR-383-5p
ENSG00000039537,cg18011364,hsa-miR-449c-5p
ENSG00000039600,cg11199137,hsa-miR-512-3p
ENSG00000042781,cg22357390,hsa-miR-206
ENSG00000042832,cg01634544,hsa-miR-363-5p
ENSG00000047457,cg21076935,hsa-miR-539-5p
ENSG00000047662,cg01735621,hsa-miR-493-3p
ENSG00000047936,cg07376381,hsa-miR-4652-5p
ENSG00000048462,cg26683639,hsa-miR-3648
ENSG00000048545,cg03652336,hsa-miR-4746-5p
ENSG00000049540,cg02135122,hsa-miR-369-3p
ENSG00000054356,cg01597066,hsa-miR-376c-3p
ENSG00000054803,cg26559315,hsa-miR-370-3p
ENSG00000058404,cg05427966,hsa-miR-372-3p
ENSG00000060718,cg15007548,hsa-miR-376a-3p
ENSG00000062096,cg12993715,hsa-miR-375-3p
ENSG00000063127,cg17410236,hsa-miR-6891-5p
ENSG00000064218,cg10215401,hsa-miR-449b-3p
ENSG00000064655,cg07796002,hsa-miR-136-3p
ENSG00000065609,cg03340715,hsa-miR-125b-2-3p
ENSG00000066382,cg14482308,hsa-miR-409-3p
ENSG00000066923,cg23437459,hsa-miR-99a-3p
ENSG00000067842,cg13355047,hsa-miR-106a-3p
ENSG00000068976,cg04040095,hsa-miR-1266-5p
ENSG00000069482,cg08457421,hsa-miR-1269a
ENSG00000069764,cg06981439,hsa-miR-204-5p
ENSG00000070031,cg26946821,hsa-miR-211-5p
ENSG00000070193,cg19129369,hsa-miR-200b-3p
ENSG00000070526,cg17794299,hsa-miR-150-3p
ENSG00000070729,cg17300544,hsa-miR-31-5p
ENSG00000070748,cg05875421,hsa-miR-31-3p
ENSG00000070808,cg26437522,hsa-miR-487b-3p
ENSG00000070985,cg16823535,hsa-miR-1911-5p
ENSG00000072133,cg05676789,hsa-miR-1910-5p
ENSG00000072657,cg26381364,hsa-miR-218-5p
ENSG00000075035,cg23662097,hsa-miR-214-3p
ENSG00000075340,cg12313969,hsa-miR-432-5p
ENSG00000075891,cg05728019,hsa-miR-495-3p
ENSG00000077063,cg06485940,hsa-miR-494-3p
ENSG00000077264,cg25940946,hsa-miR-493-5p
ENSG00000077274,cg06946452,hsa-miR-193b-3p
ENSG00000077522,cg15982299,hsa-miR-496
ENSG00000077800,cg03202804,hsa-miR-99a-5p
ENSG00000077935,cg02741216,hsa-miR-96-5p
ENSG00000078053,cg06299307,hsa-miR-33a-5p
ENSG00000078295,cg08311610,hsa-miR-936
ENSG00000078589,cg06313119,hsa-miR-509-3-5p
ENSG00000079101,cg11448683,hsa-miR-20b-3p
ENSG00000079102,cg10660909,hsa-miR-934
ENSG00000079841,cg08183141,hsa-miR-431-3p
ENSG00000080166,cg09005125,hsa-miR-200b-5p
ENSG00000080224,cg22363783,hsa-miR-6510-3p
ENSG00000080493,cg26126749,hsa-miR-129-5p
ENSG00000081052,cg11813246,hsa-miR-424-3p
ENSG00000081138,cg21880156,hsa-miR-133a-3p
ENSG00000081248,cg07906745,hsa-miR-208b-3p
ENSG00000081842,cg10644544,hsa-miR-551a
ENSG00000082196,cg20141229,hsa-miR-183-3p
ENSG00000082293,cg02822788,hsa-miR-219a-1-3p
ENSG00000082482,cg25998402,hsa-miR-214-5p
ENSG00000082556,cg11862144,hsa-miR-449b-5p
ENSG00000083067,cg10057940,hsa-miR-411-5p
ENSG00000083782,cg07969984,hsa-miR-514b-3p
ENSG00000084110,cg00888463,hsa-miR-514b-5p
ENSG00000084453,cg14385738,hsa-miR-144-3p
ENSG00000086717,cg17900854,hsa-miR-3663-3p
ENSG00000086967,cg24233426,hsa-miR-499a-5p
ENSG00000087250,cg16966992,hsa-miR-513a-5p
ENSG00000089199,cg05238270,hsa-miR-504-5p
ENSG00000089225,cg05578055,hsa-miR-503-5p
ENSG00000090512,cg10284662,hsa-miR-507
ENSG00000091181,cg19834134,hsa-miR-506-3p
ENSG00000091482,cg19446838,hsa-miR-4491
ENSG00000091513,cg20030711,hsa-miR-516a-5p
ENSG00000092009,cg20730894,hsa-miR-760
ENSG00000092054,cg19885761,hsa-miR-509-5p
ENSG00000092345,cg25087487,hsa-miR-10a-3p
ENSG00000092377,cg16741710,hsa-miR-556-3p
ENSG00000094755,cg26495865,hsa-miR-503-3p
ENSG00000095596,cg24430580,hsa-miR-758-5p
ENSG00000095713,cg05792169,hsa-miR-656-3p
ENSG00000095777,cg25078150,hsa-miR-655-3p
ENSG00000099769,cg10594709,hsa-miR-654-5p
ENSG00000100024,cg10507275,hsa-miR-2277-3p
ENSG00000100079,cg23021584,hsa-miR-200a-3p
ENSG00000100122,cg11359210,hsa-miR-299-3p
ENSG00000100249,cg01303723,hsa-miR-513b-5p
ENSG00000100253,cg17498296,hsa-miR-513c-5p
ENSG00000100346,cg10885961,hsa-miR-193b-5p
ENSG00000100362,cg18224077,hsa-miR-129-1-3p
ENSG00000100373,cg24797574,hsa-miR-1-3p
ENSG00000100473,cg23181844,hsa-miR-6512-3p
ENSG00000100593,cg23493497,hsa-miR-6512-5p
ENSG00000100604,cg14060519,hsa-miR-381-5p
ENSG00000100652,cg01616178,hsa-miR-20b-5p
ENSG00000100678,cg10210594,hsa-miR-452-3p
ENSG00000100721,cg16896868,hsa-miR-3150b-3p
ENSG00000101098,cg14471455,hsa-miR-487a-5p
ENSG00000101134,cg20206437,hsa-miR-758-3p
ENSG00000101198,cg04779752,hsa-miR-412-5p
ENSG00000101204,cg20647418,hsa-miR-551b-3p
ENSG00000101306,cg02535674,hsa-miR-134-3p
ENSG00000101333,cg15030789,hsa-miR-370-5p
ENSG00000101425,cg06399148,hsa-miR-382-3p
ENSG00000101443,cg17772028,hsa-miR-5683
ENSG00000101470,cg16209517,hsa-miR-18b-3p
ENSG00000101605,cg02304751,hsa-miR-369-5p
ENSG00000101746,cg26619790,hsa-miR-200a-5p
ENSG00000101883,cg03921753,hsa-miR-431-5p
ENSG00000101892,cg16624692,hsa-miR-429
ENSG00000101938,cg05068428,hsa-miR-1305
ENSG00000102043,cg15896259,hsa-miR-1246
ENSG00000102230,cg03544918,hsa-miR-1247-5p
ENSG00000102245,cg10868817,hsa-miR-337-3p
ENSG00000102271,cg27558693,hsa-miR-323a-3p
ENSG00000102290,cg07589773,hsa-miR-889-3p
ENSG00000102383,cg26327732,hsa-miR-508-5p
ENSG00000102387,cg04034767,hsa-miR-548b-3p
ENSG00000102452,cg26517151,hsa-miR-3616-3p
ENSG00000102466,cg18845692,hsa-miR-3614-5p
ENSG00000102468,cg13563298,hsa-miR-4778-3p
ENSG00000102683,cg11737232,hsa-miR-4776-5p
ENSG00000103089,cg23261919,hsa-miR-365a-5p
ENSG00000103154,cg24441810,hsa-miR-1293
ENSG00000103316,cg06553312,hsa-miR-1295a
ENSG00000103449,cg23192824,hsa-miR-149-3p
ENSG00000103460,cg15044248,hsa-miR-106a-5p
ENSG00000103534,cg11706780,hsa-miR-130a-5p
ENSG00000103723,cg14777342,hsa-miR-141-5p
ENSG00000104044,cg20479774,hsa-miR-377-5p
ENSG00000104059,cg18334734,hsa-miR-6499-3p
ENSG00000104213,cg03696327,hsa-miR-584-5p
ENSG00000104219,cg01477971,hsa-miR-577
ENSG00000104313,cg03615849,hsa-miR-5571-3p
ENSG00000104327,cg18504196,hsa-miR-514a-3p
ENSG00000104371,cg20307184,hsa-miR-508-3p
ENSG00000104435,cg18070676,hsa-miR-509-3p
ENSG00000104537,cg16934235,hsa-miR-133b
ENSG00000104879,cg10338830,hsa-miR-891a-5p
ENSG00000104921,cg27096144,hsa-miR-379-3p
ENSG00000105131,cg02413902,hsa-miR-30b-3p
ENSG00000105141,cg25115537,hsa-miR-2355-3p
ENSG00000105143,cg18965659,
ENSG00000105251,cg19830950,
ENSG00000105278,cg24316515,
ENSG00000105289,cg12620035,
ENSG00000105366,cg06329684,
ENSG00000105369,cg25366582,
ENSG00000105388,cg05664581,
ENSG00000105523,cg01818776,
ENSG00000105641,cg07910525,
ENSG00000105650,cg10725121,
ENSG00000105664,cg20771178,
ENSG00000105675,cg15775779,
ENSG00000105696,cg18437209,
ENSG00000105707,cg27198824,
ENSG00000105877,cg13682477,
ENSG00000105894,cg09499849,
ENSG00000106018,cg07052524,
ENSG00000106031,cg15972148,
ENSG00000106410,cg19961043,
ENSG00000106483,cg14707269,
ENSG00000106511,cg23121156,
ENSG00000106536,cg21105787,
ENSG00000106688,cg00543073,
ENSG00000106772,cg10200388,
ENSG00000106809,cg18974926,
ENSG00000107105,cg04975505,
ENSG00000107147,cg19948701,
ENSG00000107165,cg05726661,
ENSG00000107242,cg03617693,
ENSG00000107518,cg27064337,
ENSG00000108242,cg16741128,
ENSG00000108417,cg16718260,
ENSG00000108576,cg04148794,
ENSG00000108602,cg12130225,
ENSG00000108823,cg18116971,
ENSG00000108830,cg26163880,
ENSG00000108839,cg24740531,
ENSG00000108878,cg09724492,
ENSG00000108924,cg04690342,
ENSG00000109061,cg03882777,
ENSG00000109063,cg18771195,
ENSG00000109182,cg17575314,
ENSG00000109205,cg04984818,
ENSG00000109511,cg20616414,
ENSG00000109705,cg11784887,
ENSG00000109738,cg01327552,
ENSG00000109832,cg08562243,
ENSG00000110148,cg05064352,
ENSG00000110203,cg12071656,
ENSG00000110786,cg19640130,
ENSG00000110975,cg12930100,
ENSG00000111046,cg10296799,
ENSG00000111049,cg18148179,
ENSG00000111058,cg11876013,
ENSG00000111087,cg03087937,
ENSG00000111110,cg03088791,
ENSG00000111245,cg07584093,
ENSG00000111262,cg18051316,
ENSG00000111291,cg01111006,
ENSG00000111339,cg21603744,
ENSG00000111404,cg13335974,
ENSG00000111783,cg16266579,
ENSG00000111796,cg00430542,
ENSG00000111846,cg11011736,
ENSG00000111879,cg23651808,
ENSG00000112115,cg12197421,
ENSG00000112116,cg09362366,
ENSG00000112175,cg21267792,
ENSG00000112183,cg25191041,
ENSG00000112218,cg07005513,
ENSG00000112238,cg02547323,
ENSG00000112246,cg09540738,
ENSG00000112280,cg08522426,
ENSG00000112293,cg00842351,
ENSG00000112319,cg10451772,
ENSG00000112530,cg17397493,
ENSG00000112539,cg01798157,
ENSG00000112796,cg16238815,
ENSG00000112936,cg25912827,
ENSG00000113088,cg09287864,
ENSG00000113296,cg17859110,
ENSG00000113302,cg00655552,
ENSG00000113327,cg00393673,
ENSG00000113396,cg21532325,
ENSG00000113805,cg09900436,
ENSG00000113905,cg23068558,
ENSG00000114204,cg09221478,
ENSG00000114279,cg03694403,
ENSG00000114455,cg14891195,
ENSG00000114547,cg12361223,
ENSG00000114631,cg25276694,
ENSG00000114638,cg07205823,
ENSG00000114771,cg02609127,
ENSG00000114805,cg25027367,
ENSG00000114854,cg16440629,
ENSG00000115138,cg04258520,
ENSG00000115290,cg24166814,
ENSG00000115297,cg24734586,
ENSG00000115353,cg21650962,
ENSG00000115361,cg07330230,
ENSG00000115386,cg16511229,
ENSG00000115423,cg20742234,
ENSG00000115488,cg05415308,
ENSG00000115592,cg19460095,
ENSG00000115593,cg07251193,
ENSG00000115616,cg22735222,
ENSG00000115665,cg25733599,
ENSG00000115705,cg24863536,
ENSG00000115850,cg00446123,
ENSG00000116183,cg26084005,
ENSG00000116194,cg05240570,
ENSG00000116690,cg19079546,
ENSG00000116748,cg21840806,
ENSG00000116981,cg27011456,
ENSG00000117215,cg22718891,
