GE,ME,MI
ENSG00000002079,cg00651829,hsa-miR-301b-3p
ENSG00000004848,cg17689707,hsa-miR-18a-3p
ENSG00000005073,cg25987194,hsa-miR-483-5p
ENSG00000005102,cg10569615,hsa-miR-520f-5p
ENSG00000005421,cg13024709,hsa-miR-561-5p
ENSG00000006016,cg27592410,hsa-miR-616-5p
ENSG00000006047,cg09835225,hsa-miR-615-3p
ENSG00000006059,cg24242823,hsa-miR-449c-3p
ENSG00000006071,cg26851796,hsa-miR-937-3p
ENSG00000006128,cg00046625,hsa-miR-940
ENSG00000006377,cg06598091,hsa-miR-517c-3p
ENSG00000006606,cg08575330,hsa-miR-4741
ENSG00000006611,cg04797725,hsa-miR-6844
ENSG00000007062,cg21217024,hsa-miR-1269b
ENSG00000007174,cg03801902,hsa-miR-1224-5p
ENSG00000007216,cg09248482,hsa-miR-519a-5p
ENSG00000007306,cg19359398,hsa-miR-518a-5p
ENSG00000007314,cg01524174,hsa-miR-9-5p
ENSG00000007350,cg21872764,hsa-miR-9-3p
ENSG00000007402,cg10229294,hsa-miR-7702
ENSG00000008197,cg06797925,hsa-miR-552-5p
ENSG00000009709,cg12738347,hsa-miR-520g-5p
ENSG00000010282,cg20727142,hsa-miR-519d-5p
ENSG00000010438,cg08862890,hsa-let-7c-3p
ENSG00000011677,cg14823789,hsa-miR-3124-3p
ENSG00000012504,cg10158541,hsa-miR-5586-5p
ENSG00000012817,cg12527384,hsa-miR-4664-3p
ENSG00000015520,cg02866454,hsa-miR-449a
ENSG00000016082,cg11398452,hsa-miR-184
ENSG00000016490,cg08323075,hsa-miR-149-5p
ENSG00000019102,cg19029325,hsa-miR-1247-3p
ENSG00000019505,cg14003035,hsa-miR-1304-3p
ENSG00000021826,cg24115264,hsa-miR-514a-5p
ENSG00000021852,cg05338433,hsa-miR-483-3p
ENSG00000023171,cg14034757,hsa-miR-449c-5p
ENSG00000023839,cg10236452,hsa-miR-519e-5p
ENSG00000026559,cg10151473,hsa-miR-519e-3p
ENSG00000030304,cg18011364,hsa-miR-498-5p
ENSG00000034971,cg06546406,hsa-miR-520e-3p
ENSG00000035720,cg00645339,hsa-miR-515-5p
ENSG00000036473,cg20673829,hsa-miR-515-3p
ENSG00000036828,cg07252731,hsa-miR-512-5p
ENSG00000037965,cg19127283,hsa-miR-512-3p
ENSG00000039537,cg04425632,hsa-miR-194-5p
ENSG00000041515,cg19595234,hsa-miR-4652-5p
ENSG00000043355,cg12505146,hsa-miR-3690
ENSG00000044012,cg12628145,hsa-miR-371a-3p
ENSG00000046774,cg04653710,hsa-miR-372-3p
ENSG00000047662,cg07376381,hsa-miR-373-3p
ENSG00000047936,cg26421310,hsa-miR-525-3p
ENSG00000048545,cg26212877,hsa-miR-525-5p
ENSG00000049247,cg23923856,hsa-miR-519b-3p
